Blend In Type,Ignore,From,To,Start,Delay,Duration,Rate,
//,x,// examples:,,,,,,
play,x,casual_stand_idle_twitch,casual_stand_idle,5,1,2,,
play,x,casual_stand_idle,casual_stand_idle_twitchb,6,3,4,1,
hold,x,body,casual_stand_idle_twitch,3,1,2,4,
play,x,body,casual_stand_v2_twitch_radio,,,0.7,,
play,x,body,,,,4,,
play,x,,casual_stand_idle_twitch,,,2,,
//,x,,,,,,,
//fusion,x,,,,,,,
//,x,,,,,,,
play,,body,fusion_elevator_door_open_guy2,1,,10,,
play,,fusion_elevator_shaft_npc2_exit_idle_2_cqb,combatrun_forward,15%,,15,,
play,,fusion_elevator_shaft_npc2_exit_idle_2_cqb,body,1,,20,,
play,,body,fusion_airlock_opening_guy2,1,,15,,
play,,fusion_door_explosion_npc_a,fusion_control_room_idle_npc_a,1,,0,,
play,,body,fusion_security_room_corpse_fall_npc_burke,2,,5,,
play,,fusion_security_room_corpse_fall_npc_burke,fusion_security_room_corpse_fall_npc_burke_idle,1,,0,,
play,,body,fusion_security_room_corpse_fall_2_burke_idle,1,,8,,
play,,fusion_control_room_npc_a,body,1,,6,,
play,,fusion_control_room_npc_b,body,1,,6,,
//,x,,,,,,,
//generic motion set,x,,,,,,,
//,x,,,,,,,
play,,combatrun_forward,combatrun_forward,%,,10,,
play,,combatrun_forward,combatrun_right,%,,10,,
play,,combatrun_forward,combatrun_left,%,,10,,
play,,combatrun_forward,combatrun_backward,%,,10,,
play,,combatrun_right,combatrun_forward,%,,10,,
play,,combatrun_right,combatrun_backward,%,,10,,
play,,combatrun_right,combatrun_left,%,,10,,
play,,combatrun_left,combatrun_forward,%,,10,,
play,,combatrun_left,combatrun_backward,%,,10,,
play,,combatrun_left,combatrun_right,%,,10,,
play,,combatrun_backward,combatrun_forward,%,,10,,
play,,combatrun_backward,combatrun_right,%,,10,,
play,,combatrun_backward,combatrun_left,%,,10,,
play,,modern_corner,body,1,,10,,
play,,npc_urgent_walk_turn,combatrun_forward,1,,10,,
play,,combatrun_forward,npc_urgent_walk_turn,1,,10,,
play,,npc_urgent_walk_turn,body,1,,10,,
play,,body,npc_urgent_walk_turn,1,,10,,
play,,npc_urgent_walk,body,1,,10,,
play,,body,npc_urgent_walk,1,,10,,
//,x,,,,,,,
//,x,,,,,,,
//sf_b,x,,,,,,,
//,x,,,,,,,
play,,body,sf_b_boost_off_guy1,1,,15,,
play,,body,sf_b_boost_off_guy2,1,,15,,
play,,body,sf_b_boost_off_guy3,1,,15,,
play,,sf_b_boost_off_guy1,body,1,,15,,
play,,sf_b_boost_off_guy2,body,1,,15,,
play,,sf_b_boost_off_guy3,body,1,,15,,
play,,body,sanfran_b_exo_takedown_guy1,2,,8,,
play,,body,sanfran_b_exo_takedown_guy2,2,,8,,
play,,sf_b_bulkhead_pullopen_takedown_guy1,body,1,,8,,
play,,sf_b_boost_off_ripopen_guy2,body,1,,8,,
play,,sf_b_pullbody_pull_guy2,sf_b_bridge_dialog_loop_guy1,1,,0,,
play,,body,lab_serverroom_entry_loop_guy1,1,,12,,
play,,body,lab_serverroom_entry_loop_guy2,1,,12,,
play,,body,lab_serverroom_entry_loop_guy3,1,,12,,
play,,lab_serverroom_entry_loop_guy1,body,1,,12,,
play,,lab_serverroom_entry_loop_guy2,body,1,,12,,
play,,lab_serverroom_entry_loop_guy3,body,1,,12,,
play,,body,lab_htank_reveal_hero_01,1,,12,,
play,,body,lab_htank_reveal_hero_02,1,,12,,
play,,body,lab_htank_reveal_hero_03,1,,12,,
play,,body,lab_htank_reveal_loop_hero_01,1,,12,,
play,,body,lab_htank_reveal_loop_hero_02,1,,12,,
play,,body,lab_htank_reveal_loop_hero_03,1,,12,,
play,,body,lab_htank_enter_hero_01,1,,12,,
play,,body,lab_htank_enter_hero_02,1,,12,,
play,,body,lab_htank_enter_hero_03,1,,12,,
play,,body,lab_knife_takedown_hero_01,1,,8,,
play,,lab_knife_takedown_hero_01,body,1,,10,,
play,,active_patrolwalk_v5,lab_knife_takedown_guy_01_enter,1,,30,,
play,,lab_knife_takedown_guy_01_enter,body,1,,30,,
play,,body,lab_knife_takedown_guy_01,1,,8,,
//,x,,,,,,,
//detroit,x,,,,,,,
//,x,,,,,,,
play,,det_school_splitup_burke_pt2,det_school_wall_burke_schoolapproach,6,,0,,
play,,det_casual_stopstarts_idle_to_walk_joker,det_casual_walk_fast_joker,1,,10,,
play,,det_casual_stopstarts_idle_to_walk_burke,det_casual_walk_fast_burke,1,,10,,
play,,det_casual_stopstarts,det_casual_walks,1,,0,,
play,,det_casual_walks,det_casual_walks,%,,12,,
play,,det_casual_walks,det_casual_stopstarts,1,,12,,
play,,body,det_casual_walks,1,,12,,
play,,body,det_school_splitup_joker,1,,15,,
play,,body,det_casual_stopstarts,1,,12,,
play,,body,det_casual_gestures,1,,15,,
play,,det_casual_gestures,body,1,,15,,
play,,det_casual_walks,det_gate_decon_joker,1,,16,,
play,,det_casual_walks,det_gate_decon_burke,1,,16,,
play,,hoverbike_driving_lean_left_out_guy1,body,1,,15,,
play,,hoverbike_driving_lean_left_idle_guy1,body,1,,15,,
//,x,,,,,,,
play,,democracy_cam_shot_1,democracy_cam_shot_2,1,,0,,
play,,democracy_cam_shot_2,democracy_cam_shot_3,1,,0,,
play,,democracy_cam_shot_3,democracy_cam_shot_4,1,,0,,
play,,democracy_cam_shot_4,democracy_cam_shot_5,1,,0,,
//seoul,,,,,,,,
play,,cqb_stop_7,smg_exposed_aim_5,1,,30,,
play,,seo_pod_exit_will,seo_pod_exit_will_idle_loop,1,,30,,
play,,seo_pod_exit_npc2,seo_pod_exit_npc2_idle_loop,1,,30,,
play,,seo_pod_exit_npc2_idle_loop,seo_pod_exit_npc2_into_cqb,1,,40,,
play,,seo_pod_exit_will_idle_loop,seo_pod_exit_will_into_cqb,1,,20,,
play,,seo_pod_exit_npc2_into_cqb,body,1,,40,,
play,,seo_pod_exit_npc1_idle_loop,body,1,,12,,
play,,seo_pod_exit_npc2_idle_loop,body,1,,12,,
play,x,react_run,react_run,%,,12,,
play,x,react_run,seo_react_to_war_run_2_idle,1,,10,,
play,x,seo_react_to_war_idle_2_run,react_run,1,,10,,
play,x,body,seo_react_to_war_idle,1,,12,,
play,x,body,react_run,1,,12,,
play,,body,seo_react_to_war_run_2_right90_idle,1,,20,,
play,,body,seo_react_to_war_run_2_idle,1,,10,,
play,,seo_react_to_war_idle,seo_react_to_war_idle_2_run,1,,10,,
//,x,,,,,,,
//recovery,,,,,,,,
play,,rec_aug_threatgrenade_gideon_idle,rec_aug_threatgrenade_gideon_out,1,,5,,
play,,rec_aug_threatgrenade_gideon_out,body,1,,30,,
play,,body,rec_atlas_shootingrange_gideon_talk,1,,0,,
play,,rec_funeral_eulogy_idle_cormack,rec_funeral_eulogy_ends_cormack,1,,30,,
play,,rec_funeral_eulogy_idle_wife,rec_funeral_eulogy_ends_wife,1,,30,,
play,,rec_funeral_eulogy_idle_irons,rec_funeral_eulogy_ends_irons,1,,30,,
play,,rec_funeral_eulogy_ends_wife,rec_funeral_eulogy_idle_wife,1,,30,,
play,,Rec_campdavid_mute_breach_fire_guy1,rec_campdavid_mute_breach_release_guy1,1,,12,,
play,,body,Rec_campdavid_mute_breach_fire_guy1,1,,10,,
//lagos,x,,,,,,,
play,,lag_lobby_waiting_elevator_react_guy1,lag_lobby_waiting_elevator_react_loop_guy1,1,,0,,
play,,lag_lobby_waiting_elevator_react_guy2,lag_lobby_waiting_elevator_react_loop_guy2,1,,0,,
// bet,x,,,,,,,
play,,npc_urgent_walk_idle,bet_unarmed_casual_walk01_gideon,1,,3,,
play,,npc_urgent_walk_twitch01_idle,bet_unarmed_casual_walk01_gideon,1,,3,,
play,,npc_urgent_walk_twitch02_idle,bet_unarmed_casual_walk01_gideon,1,,3,,
play,,npc_urgent_walk_twitch03_idle,bet_unarmed_casual_walk01_gideon,1,,3,,
play,,body,bet_confrontation_pt1_gideon,1,,12,,
play,,npc_urgent_walk_idle,npc_urgent_walk_turn,1,,3,,
play,,npc_urgent_walk_twitch01_idle,npc_urgent_walk_turn,1,,3,,
play,,npc_urgent_walk_twitch02_idle,npc_urgent_walk_turn,1,,3,,
play,,npc_urgent_walk_twitch03_idle,npc_urgent_walk_turn,1,,3,,
Blend In Type,x,From,To,Start,Delay,Duration,Rate,
// finale,x,,,,,,,
