# The file is broken into the CPU section followed by the video memory and GPU section.
"# The first four columns of the CPU section must be ""cpu mhz"" then ""sys mb"" then ""cpu cores"" then ""gpuIsNVIDIA""."
"# The first column of the video memory section must be ""vidmem"". This triggers the start of the video memory section."
"# The first column of the GPU section must be ""gpu"".  This triggers the start of the GPU section."
# Each subsequent column header in both sections is a dvar name.
"# In the CPU section, each dvar gets the value listed in its column for the row of the system settings that most closely match the current machine, without going over"
"# In the video memory section, each dvar gets the value listed in its column for the row of the video memory that most closely matches the current video card, without going over"
"# In the GPU section, each dvar gets the value listed in its column for the row of the first GPU string to match."
"# For GPU names, spaces are treated as wildcards that match any sequence of 0 or more non-numeric characters.  You can use * to match 0 or more of any character, or ? to match any single character."



cpu ghz,sys mb,cpu cores,gpuIsNVIDIA,ai_corpseLimit,ragdoll_enable,fx_marks,r_lodScaleSkinned,r_lodBiasSkinned,r_lodScaleRigid,r_lodBiasRigid,r_drawWater,ragdoll_mp_limit,r_elevatedPriority,r_depthPrepass,r_preloadShadersELL,r_preloadShadersELLMSPT,r_preloadShadersWNDTOO,snd_lowQualityAudio

0,128,1,1,8,0,0,1,0,1,0,0,8,0,0,0,-1,1,1
12,6144,2,1,16,1,1,1,0,1,0,1,16,0,0,0,-1,1,1
13,6144,4,1,28,1,1,1,0,1,0,1,32,0,2,0,-1,1,0
13,6144,5,1,28,1,1,1,0,1,0,1,32,0,2,0,-1,1,0

0,128,1,0,8,0,0,1,0,1,0,0,8,0,0,0,-1,1,1
12,6144,2,0,16,1,1,1,0,1,0,1,16,0,0,0,-1,1,1
13,6144,4,0,28,1,1,1,0,1,0,1,32,0,2,0,-1,1,0
13,6144,5,0,28,1,1,1,0,1,0,1,32,0,2,0,-1,1,0

vidmem,sm_cacheSpotShadows,sm_cacheSunShadow,sm_tileResolution,r_picmip,r_picmip_bump,r_picmip_spec

0,0,0,1,3,3,3
900,0,0,1,3,3,3
1400,0,0,1,2,2,2
1900,0,0,1,1,1,1
2400,0,0,2,0,0,0
2900,0,0,2,0,0,0
3900,0,0,2,0,0,0


gpu,sm_enable,sm_sunShadowScaleLocked,r_dof_limit,r_dlightForceLimit,r_mbLimit,r_ssaoLimit,r_mdaoLimit,r_renderResolutionNative,r_renderResolution,r_ssaaSamples,r_sssLimit,r_videoMemoryScale,r_postAA,r_uav_overlap

GeForce GTX 4*,0,0,0,2,0,0,0,0,0.5184,1,0,1,0,1
GeForce GTS 4*,0,0,0,2,0,0,0,0,0.5184,1,0,1,0,1
GeForce GT 4*,0,0,0,2,0,0,0,0,0.5184,1,0,1,0,1
GeForce 4*,0,0,0,2,0,0,0,0,0.5184,1,0,1,0,1

GeForce GTX 5??M*,0,0,0,2,0,0,0,0,0.5184,1,0,1,0,1
GeForce GTX 5*,0,0,0,2,0,0,0,0,0.5184,1,0,1,0,1
GeForce GT 5??M*,0,0,0,2,0,0,0,0,0.5184,1,0,1,0,1
GeForce GT 5*,0,0,0,2,0,0,0,0,0.5184,1,0,1,0,1
GeForce 5*,0,0,0,2,0,0,0,0,0.5184,1,0,1,0,1

GeForce GTX 6??M*,1,0,0,2,0,0,0,1,2.0736,1,0,1,1,1
GeForce GTX 6*,1,1,2,4,2,1,2,1,2.0736,1,1,1,1,1
GeForce GT 6??M*,1,0,0,2,0,0,0,0,0.5184,1,0,1,0,1
GeForce GT 6*,1,0,0,2,0,0,0,1,2.0736,1,1,1,1,1
GeForce 6??M*,1,0,0,2,0,0,0,0,0.5184,1,0,1,0,1
GeForce 6*,1,0,0,2,0,0,0,1,2.0736,1,1,1,1,1

GeForce GTX 7??M*,1,0,0,2,0,0,0,1,2.0736,1,1,1,1,1
GeForce GTX 7*,1,1,2,4,2,3,2,1,2.0736,1,1,1,2,1
GeForce GT 7??M*,1,0,0,2,0,0,0,1,2.0736,1,1,1,1,1
GeForce GT 7*,0,0,0,2,0,0,0,0,0.5184,1,0,1,0,1
GeForce 7??M*,1,0,0,2,0,0,0,1,2.0736,1,1,1,1,1
GeForce 7*,1,0,0,2,0,0,0,1,2.0736,1,1,1,1,1

GeForce GTX 8*,1,1,2,4,2,1,2,1,2.0736,1,1,1,1,1
GeForce 8*,1,0,0,2,0,0,0,1,2.0736,1,1,1,1,1

GeForce GTX 9??M*,1,1,2,4,2,1,2,1,2.0736,1,1,1,1,1
GeForce GTX 9*,1,1,3,8,3,3,2,1,2.0736,1,1,1,2,1
GeForce 9??M*,1,1,2,4,2,1,2,1,2.0736,1,1,1,1,1
GeForce 9*,1,1,2,4,2,1,2,1,2.0736,1,1,1,1,1

GeForce GTX Titan,1,1,3,4,3,3,2,1,2.0736,1,1,1,2,1
GeForce GTX 1080,1,1,3,8,3,3,2,0,6.71846,1,1,1,5,1
GeForce GTX 1070,1,1,3,8,3,3,2,0,6.71846,1,1,1,5,1
GeForce GTX 10?0,1,1,3,8,3,3,2,0,5.30842,1,1,1,5,1

Quadro 5000,1,1,1,4,1,1,2,1,2.0736,1,0,1,0,1
Quadro 6000,1,1,1,4,1,1,2,1,2.0736,1,1,1,1,1
Quadro 7000,1,1,2,4,2,1,2,1,2.0736,1,1,1,1,1
Quadro K4000,1,1,1,4,1,1,2,1,2.0736,1,1,1,1,1
Quadro K5000,1,1,2,4,2,1,2,1,2.0736,1,1,1,1,1
Quadro K6000,1,1,3,4,3,1,2,1,2.0736,1,1,1,1,1

Mobility Radeon HD 5*,0,0,0,2,0,0,0,0,0.5184,1,0,0.7,0,1
Radeon HD 5*,0,0,0,2,0,0,0,0,0.5184,1,0,0.7,0,1
Radeon HD 6???M*,0,0,0,2,0,0,0,0,0.5184,1,0,0.7,0,1
Radeon HD 6*,0,0,0,2,0,0,0,0,0.5184,1,0,1,0,1
