name,thermal,flashed,
sunenable,1,1,
sunshadowscale,1,1,
sunshadowscale_time,0,0,
spotlimit,4,4,
qualityspotshadow,1,1,
usedsuncascadecount,2,2,
sunsamplesizenear,0.25,0.25,
sunsamplesizenear_time,0,0,
specularcolorscale,1,1,
specularcolorscale_time,0,0,
diffusecolorscale,1,1,
diffusecolorscale_time,0,0,
veil,0,0,
veilstrength,0.087,1.5,
veilstrength_time,0,0,
veilbackgroundstrength,0.913,0.913,
veilbackgroundstrength_time,0,0,
tonemap,2,2,
tonemapauto,0,1,
tonemapblend,1,1,
tonemaplockautoexposureadjust,0,1,
tonemapautoexposureadjust,0,2.5,
tonemapautoexposureadjust_time,0,0,
tonemapexposure,10,-10,
tonemapexposure_time,0,0,
tonemapexposureadjust,0,0,
tonemapexposureadjust_time,0,0,
tonemapmaxexposure,-10,-10,
tonemapmaxexposure_time,0,0,
tonemapadaptspeed,0.02,0.1,
tonemapadaptspeed_time,0,0,
tonemapdarkev,2.8401,2.8401,
tonemapdarkev_time,0,0,
tonemapmidev,7.8230,7.8230,
tonemapmidev_time,0,0,
tonemaplightev,12.8058,12.8058,
tonemaplightev_time,0,0,
tonemapdarkexposureadjust,-3.1699,-3.1699,
tonemapdarkexposureadjust_time,0,0,
tonemapmidexposureadjust,-0.0651,-0.0651,
tonemapmidexposureadjust_time,0,0,
tonemaplightexposureadjust,1.4739,1.4739,
tonemaplightexposureadjust_time,0,0,
tonemapminexposureadjust,-3.1699,-3.1699,
tonemapminexposureadjust_time,0,0,
tonemapmaxexposureadjust,2.3219,2.3219,
tonemapmaxexposureadjust_time,0,0,
tonemapwhite,512,512,
tonemapwhite_time,0,0,
tonemapshoulder,0.94,0.94,
tonemapshoulder_time,0,0,
tonemapcrossover,1,1,
tonemapcrossover_time,0,0,
tonemaptoe,0.2,0.2,
tonemaptoe_time,0,0,
tonemapblack,0,0,
tonemapblack_time,0,0,
