col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,
ch_marksman_h1_ak47,CHALLENGE_MARKSMAN_AK47,CHALLENGE_MARKSMAN_DESC,,1,challenge_assault1,4,,,,25,250,75,500,150,1000,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,category_attachment,,
ch_marksman_h1_g3,CHALLENGE_MARKSMAN_G3,CHALLENGE_MARKSMAN_DESC,,1,challenge_assault1,24,,,ch_prPurchase_h1_g3,25,250,75,500,150,1000,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,category_attachment,,
ch_marksman_h1_g36c,CHALLENGE_MARKSMAN_G36C,CHALLENGE_MARKSMAN_DESC,,1,challenge_assault1,36,,,ch_prPurchase_h1_g36c,25,250,75,500,150,1000,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,1,category_attachment,,
ch_marksman_h1_m14,CHALLENGE_MARKSMAN_M14,CHALLENGE_MARKSMAN_DESC,,1,challenge_assault1,45,,,ch_prPurchase_h1_m14,25,250,75,500,150,1000,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1,category_attachment,,
ch_marksman_h1_m16,CHALLENGE_MARKSMAN_M16,CHALLENGE_MARKSMAN_DESC,,1,challenge_assault1,4,,,,25,250,75,500,150,1000,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,category_attachment,,
ch_marksman_h1_m4,CHALLENGE_MARKSMAN_M4,CHALLENGE_MARKSMAN_DESC,,1,challenge_assault1,9,,,ch_prPurchase_h1_m4,25,250,75,500,150,1000,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1,category_attachment,,
ch_marksman_h1_ak74u,CHALLENGE_MARKSMAN_AK74U,CHALLENGE_MARKSMAN_DESC,,1,challenge_smg1,27,,,ch_prPurchase_h1_ak74u,25,250,75,500,150,1000,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,1,category_attachment,,
ch_marksman_h1_mp5,CHALLENGE_MARKSMAN_MP5,CHALLENGE_MARKSMAN_DESC,,1,challenge_smg1,4,,,,25,250,75,500,150,1000,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,1,category_attachment,,
ch_marksman_h1_p90,CHALLENGE_MARKSMAN_P90,CHALLENGE_MARKSMAN_DESC,,1,challenge_smg1,39,,,ch_prPurchase_h1_p90,25,250,75,500,150,1000,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,1,category_attachment,,
ch_marksman_h1_skorpion,CHALLENGE_MARKSMAN_SKORPION,CHALLENGE_MARKSMAN_DESC,,1,challenge_smg1,4,,,,25,250,75,500,150,1000,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,1,category_attachment,,
