no,akimbo,xmags,dualmag,tactical,parabolicmicrophone,gl,opticsreddot,opticsacog2,opticseotech,opticsthermal,silencer01,foregrip,directhack,variablereddot,opticstargetenhancer,longrange,quickdraw,stock,lasersight,morsscopevz,gm6scopevz,m990scopevz,thorscopevz,trackrounds,stabilizer,heatsink,ironsights,shieldcloak,shieldfastmelee,shieldfastplant,shieldshockplant,rw1scopebase,morsstabilizer,gm6stabilizer,m990stabilizer,thorstabilizer,crossbowscopebase,scopevz,silencerpistol,silencersniper,
akimbo,no,,,no,no,no,no,no,no,no,,no,,no,no,,,,no,no,no,no,no,,no,,no,no,no,no,no,no,no,no,no,no,no,no,,,
xmags,,no,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,,,,,,,,,
dualmag,,,no,,,,,,,,,,,,,,,,,,,,,,no,,,no,no,no,no,no,no,no,no,no,no,,,,
tactical,no,,,no,,no,,,,,,no,,no,,,,,no,,,,,,no,,no,no,no,no,no,,no,no,no,no,no,,,,
parabolicmicrophone,no,,,,no,,,,,,,,no,,,,,,no,,,,,no,,,,no,no,no,no,,,,,,no,,,,
gl,no,,,no,,no,,,,,,no,,,,,,,,,,,,,no,,,no,no,no,no,no,no,no,no,no,no,,,,
opticsreddot,no,,,,,,no,no,no,no,,,,no,no,,,,,no,no,no,no,,no,,no,no,no,no,no,no,no,no,no,no,no,no,,,
opticsacog2,no,,,,,,no,no,no,no,,,,no,no,,,,,no,no,no,no,,no,,no,no,no,no,no,no,no,no,no,no,no,no,,,
opticseotech,no,,,,,,no,no,no,no,,,,no,no,,,,,no,no,no,no,,no,,no,no,no,no,no,no,no,no,no,no,no,no,,,
opticsthermal,no,,,,,,no,no,no,no,,,,no,no,,,,,no,no,no,no,,no,,no,no,no,no,no,no,no,no,no,no,no,no,,,
silencer01,,,,,,,,,,,no,,no,,,no,,,,,,,,,,,,no,no,no,no,no,,,,,no,,no,no,
foregrip,no,,,no,,no,,,,,,no,,,,,,,,,,,,,,,,no,no,no,no,no,,,,,no,,,,
directhack,,,,,no,,,,,,no,,no,,,,,,no,,,,,no,no,,,no,no,no,no,no,no,no,no,no,no,,no,no,
variablereddot,no,,,no,,,no,no,no,no,,,,no,no,,,,,no,no,no,no,,no,,no,no,no,no,no,no,no,no,no,no,no,no,,,
opticstargetenhancer,no,,,,,,no,no,no,no,,,,no,no,,,,,no,no,no,no,,no,,no,no,no,no,no,no,no,no,no,no,no,no,,,
longrange,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,no,no,no,no,,,,,,no,,no,no,
quickdraw,,,,,,,,,,,,,,,,,no,,,,,,,,no,,,no,no,no,no,no,no,no,no,no,no,,,,
stock,,,,,,,,,,,,,,,,,,no,,,,,,,,,,no,no,no,no,,,,,,no,,,,
lasersight,no,,,no,no,,,,,,,,no,,,,,,no,,,,,no,,,,no,no,no,no,,,,,,no,,,,
morsscopevz,no,,,,,,no,no,no,no,,,,no,no,,,,,no,no,no,no,,no,,no,no,no,no,no,no,no,no,no,no,no,no,,,
gm6scopevz,no,,,,,,no,no,no,no,,,,no,no,,,,,no,no,no,no,,no,,no,no,no,no,no,no,no,no,no,no,no,no,,,
m990scopevz,no,,,,,,no,no,no,no,,,,no,no,,,,,no,no,no,no,,no,,no,no,no,no,no,no,no,no,no,no,no,no,,,
thorscopevz,no,,,,,,no,no,no,no,,,,no,no,,,,,no,no,no,no,,no,,no,no,no,no,no,no,no,no,no,no,no,no,,,
trackrounds,,,,,no,,,,,,,,no,,,,,,no,,,,,no,,,,no,no,no,no,,,,,,no,,,,
stabilizer,no,,,no,,no,no,no,no,no,,,no,no,no,,no,,,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,
heatsink,,no,,,,,,,,,,,,,,,,,,,,,,,no,no,,no,no,no,no,no,no,no,no,no,no,,,,
ironsights,no,,,no,,,no,no,no,no,,,,no,no,,,,,no,no,no,no,,no,,no,no,no,no,no,no,no,no,no,no,no,no,,,
