id,name,purchase id,localizedStringID,purchased limit item,purchase limit,purchase currency id,purchase amount,currecny award id, currency award amount,item 0 id,item 0 amount,item 1 id, item 1 amount,item 2 id,item 2 amount,item 3 id,item 3 amount,marketing image,productionLevel,
1,dec,0x40000001,DEPOT_BUNDLE_NAME_1,0x100D0B2,1,4,2500,3,250,0x100D0B9,25,,,,,,,,LootDrop1,
2,feb,0x40000002,DEPOT_BUNDLE_NAME_1,0x100D40F,2,4,750,0,0,0x100D0B9,5,,,,,,,depot_25off,LootDrop2,
3,apr,0x40000003,DEPOT_BUNDLE_NAME_3,0x100D351,3,4,1000,0,0,0x100D1B3,5,0x100D0B9,3,,,,,,LootDrop3,
4,apr2,0x40000004,DEPOT_BUNDLE_NAME_4,0x100D410,2,4,750,0,0,0x100D1B3,5,,,,,,,depot_25off,LootDrop3,
5,promo1,0x40000005,,0x100D33A,4,4,300,0,0,0x100D1B8,1,,,,,,,,LootDrop4,
6,promo2,0x40000006,,0x100D33C,10,4,300,0,0,0x100D1BA,1,,,,,,,,LootDrop4,
7,promo3,0x40000007,,0x100D33D,3,4,300,0,0,0x100D1BC,1,,,,,,,,LootDrop4,
8,promo4,0x40000008,,0x100D33E,4,4,300,0,0,0x100D1BE,1,,,,,,,,LootDrop4,
9,jun1,0x40000009,DEPOT_BUNDLE_NAME_5,0x100D34A,3,4,1000,0,0,0x100D0B9,5,0x100D1B3,3,,,,,,LootDrop2,
10,promo5,0x4000000A,,0x100D34B,10,4,300,0,0,0x100D1C0,1,,,,,,,,LootDrop4,
11,promo6,0x4000000B,,0x100D34C,10,4,300,0,0,0x100D1C2,1,,,,,,,,LootDrop2,
12,promo7,0x4000000C,,0x100D34D,10,4,300,0,0,0x100D1C4,1,,,,,,,,LootDrop4,
13,promo8,0x4000000D,,0x100D34E,10,4,300,0,0,0x100D1C6,1,,,,,,,,LootDrop2,
14,promo9,0x4000000E,,0x100D34F,10,4,300,0,0,0x100D1DE,1,,,,,,,,LootDrop5,
15,promo10,0x4000000F,,0x100D350,4,4,300,0,0,0x100D1E0,1,,,,,,,,LootDrop5,
16,aw_25off_8,0x40000010,DEPOT_BUNDLE_NAME_1,0x100D352,0,4,1200,0,0,0x100D0B9,8,,,,,,,depot_25off,LootDrop2,
17,ls_25off_8,0x40000011,DEPOT_BUNDLE_NAME_4,0x100D353,0,4,1200,0,0,0x100D1B3,8,,,,,,,depot_25off,LootDrop4,
18,ch_25off_1,0x40000012,DEPOT_BUNDLE_NAME_CH_25OFF_1,0x100D414,0,4,150,0,0,0x100D412,1,,,,,,,depot_25off,LootDrop6,
19,ch_topper,0x40000013,DEPOT_BUNDLE_NAME_CH_TOPPER,0x100D415,5,4,1000,0,0,0x100D412,5,0x100D1B3,3,,,,,,LootDrop6,
20,ch_ls_aw_3,0x40000014,DEPOT_BUNDLE_NAME_3X3X3,0x100D416,3,4,1200,0,0,0x100D412,3,0x100D1B3,3,0x100D0B9,3,,,,LootDrop6,
21,promo11,0x40000015,,0x100D418,10,4,300,0,0,0x100D1E2,1,,,,,,,,LootDrop6,
22,promo12,0x40000016,,0x100D419,10,4,300,0,0,0x100D1E4,1,,,,,,,,LootDrop6,
