loadoutName,CLASS_CLASS1,CLASS_CLASS2,CLASS_CLASS3,CLASS_CLASS4,CLASS_CLASS5,CLASS_CLASS6,CLASS_CLASS2,CLASS_CLASS3,CLASS_CLASS4,CLASS_CLASS5,CLASS_DEFAULT,CLASS_DEFAULT,
loadoutPrimary,h1_m16,h1_mp5,h1_saw,h1_winchester1200,h1_m40a3,h1_mp5,h1_m16,h1_m16,h1_m16,h1_m16,h1_m16,h1_m16,
loadoutPrimaryCamo,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryReticle,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryAttachKit,gl,none,none,none,none,none,none,none,none,none,none,none,
loadoutPrimaryFurnitureKit,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondary,h1_beretta,h1_usp,h1_usp,h1_beretta,h1_beretta,h1_beretta,h1_beretta,h1_beretta,h1_beretta,h1_beretta,h1_beretta,h1_beretta,
loadoutSecondaryCamo,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryReticle,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutSecondaryAttachKit,none,silencer,none,none,silencer,none,none,none,none,none,none,none,
loadoutSecondaryFurnitureKit,none,none,none,none,none,none,none,none,none,none,none,none,
loadoutEquipment,h1_fraggrenade_mp,h1_fraggrenade_mp,h1_fraggrenade_mp,h1_fraggrenade_mp,h1_fraggrenade_mp,h1_fraggrenade_mp,h1_fraggrenade_mp,h1_fraggrenade_mp,h1_fraggrenade_mp,h1_fraggrenade_mp,h1_fraggrenade_mp,h1_fraggrenade_mp,
loadoutOffhand,h1_concussiongrenade_mp,h1_flashgrenade_mp,h1_concussiongrenade_mp,h1_smokegrenade_mp,h1_flashgrenade_mp,h1_flashgrenade_mp,h1_flashgrenade_mp,h1_flashgrenade_mp,h1_flashgrenade_mp,h1_flashgrenade_mp,h1_flashgrenade_mp,h1_flashgrenade_mp,
loadoutPerk1,specialty_null,c4_mp,specialty_specialgrenade,rpg_mp,specialty_specialgrenade,specialty_specialgrenade,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk2,specialty_bulletdamage,specialty_explosivedamage,specialty_armorvest,specialty_explosivedamage,specialty_bulletdamage,specialty_armorvest,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk3,specialty_longersprint,specialty_bulletaccuracy,specialty_bulletpenetration,specialty_longersprint,specialty_bulletpenetration,specialty_longersprint,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,specialty_null,
meleeWeapon,none,none,none,none,none,none,none,none,none,none,none,none,
