model,category,idIndex,primaryid,collision,transient override,lobmodel,viewmodel,worldmat,viewmat,group1,group2,group3,group4,group5,group6,group7,group8,wetmodel,wetviewmodel,productionLevel,
body_usmc_desert_assault_mp_camo,shirt,1,1,1,none,,,,,desert,ally,assault,!female,,,,,,,Gold,
body_usmc_desert_female_assault_mp_camo,shirt,1,1,1,,,,,,desert,ally,assault,female,,,,,,,Gold,
body_arab_desert_assault_mp_camo,shirt,1,1,1,,,,,,desert,!ally,assault,!female,!racewht,!raceblk,!racetan,,,,Gold,
body_arab_desert_assault_mp_camo_brn,shirt,1,1,1,,,,,,desert,!ally,assault,!female,raceblk,,,,,,Gold,
body_arab_desert_assault_mp_camo_tan,shirt,1,1,1,,,,,,desert,!ally,assault,!female,racetan,,,,,,Gold,
body_arab_desert_assault_mp_camo_wht,shirt,1,1,1,,,,,,desert,!ally,assault,!female,racewht,,,,,,Gold,
body_arab_desert_female_assault_mp_camo,shirt,1,1,1,,,,,,desert,!ally,assault,female,!racewht,!raceblk,!racetan,,,,Gold,
body_arab_desert_female_assault_mp_camo_brn,shirt,1,1,1,,,,,,desert,!ally,assault,female,raceblk,,,,,,Gold,
body_arab_desert_female_assault_mp_camo_tan,shirt,1,1,1,,,,,,desert,!ally,assault,female,racetan,,,,,,Gold,
body_arab_desert_female_assault_mp_camo_wht,shirt,1,1,1,,,,,,desert,!ally,assault,female,racewht,,,,,,Gold,
body_arab_desert_female_lmg_mp_camo,shirt,1,1,1,,,,,,desert,!ally,lmg,female,!racewht,!raceblk,!racetan,,,,Gold,
body_arab_desert_female_lmg_mp_camo_brn,shirt,1,1,1,,,,,,desert,!ally,lmg,female,raceblk,,,,,,Gold,
body_arab_desert_female_lmg_mp_camo_tan,shirt,1,1,1,,,,,,desert,!ally,lmg,female,racetan,,,,,,Gold,
body_arab_desert_female_lmg_mp_camo_wht,shirt,1,1,1,,,,,,desert,!ally,lmg,female,racewht,,,,,,Gold,
body_arab_desert_female_shotgun_mp_camo,shirt,1,1,1,,,,,,desert,!ally,shotgun,female,!racewht,!raceblk,!racetan,,,,Gold,
body_arab_desert_female_shotgun_mp_camo_brn,shirt,1,1,1,,,,,,desert,!ally,shotgun,female,raceblk,,,,,,Gold,
body_arab_desert_female_shotgun_mp_camo_tan,shirt,1,1,1,,,,,,desert,!ally,shotgun,female,racetan,,,,,,Gold,
body_arab_desert_female_shotgun_mp_camo_wht,shirt,1,1,1,,,,,,desert,!ally,shotgun,female,racewht,,,,,,Gold,
body_arab_desert_female_smg_mp_camo,shirt,1,1,1,,,,,,desert,!ally,smg,female,!racewht,!raceblk,!racetan,,,,Gold,
body_arab_desert_female_smg_mp_camo_brn,shirt,1,1,1,,,,,,desert,!ally,smg,female,raceblk,,,,,,Gold,
body_arab_desert_female_smg_mp_camo_tan,shirt,1,1,1,,,,,,desert,!ally,smg,female,racetan,,,,,,Gold,
body_arab_desert_female_smg_mp_camo_wht,shirt,1,1,1,,,,,,desert,!ally,smg,female,racewht,,,,,,Gold,
body_arab_desert_female_sniper_mp_camo,shirt,1,1,1,,,,,,desert,!ally,sniper,female,!racewht,!raceblk,!racetan,,,,Gold,
body_arab_desert_female_sniper_mp_camo_brn,shirt,1,1,1,,,,,,desert,!ally,sniper,female,raceblk,,,,,,Gold,
body_arab_desert_female_sniper_mp_camo_tan,shirt,1,1,1,,,,,,desert,!ally,sniper,female,racetan,,,,,,Gold,
body_arab_desert_female_sniper_mp_camo_wht,shirt,1,1,1,,,,,,desert,!ally,sniper,female,racewht,,,,,,Gold,
body_arab_desert_lmg_mp_camo,shirt,1,1,1,,,,,,desert,!ally,lmg,!female,!racewht,!raceblk,!racetan,,,,Gold,
body_arab_desert_lmg_mp_camo_brn,shirt,1,1,1,,,,,,desert,!ally,lmg,!female,raceblk,,,,,,Gold,
body_arab_desert_lmg_mp_camo_tan,shirt,1,1,1,,,,,,desert,!ally,lmg,!female,racetan,,,,,,Gold,
body_arab_desert_lmg_mp_camo_wht,shirt,1,1,1,,,,,,desert,!ally,lmg,!female,racewht,,,,,,Gold,
body_arab_desert_shotgun_mp_camo,shirt,1,1,1,,,,,,desert,!ally,shotgun,!female,!racewht,!raceblk,!racetan,,,,Gold,
body_arab_desert_shotgun_mp_camo_brn,shirt,1,1,1,,,,,,desert,!ally,shotgun,!female,raceblk,,,,,,Gold,
body_arab_desert_shotgun_mp_camo_tan,shirt,1,1,1,,,,,,desert,!ally,shotgun,!female,racetan,,,,,,Gold,
body_arab_desert_shotgun_mp_camo_wht,shirt,1,1,1,,,,,,desert,!ally,shotgun,!female,racewht,,,,,,Gold,
body_arab_desert_smg_mp_camo,shirt,1,1,1,,,,,,desert,!ally,smg,!female,!racewht,!raceblk,!racetan,,,,Gold,
body_arab_desert_smg_mp_camo_brn,shirt,1,1,1,,,,,,desert,!ally,smg,!female,raceblk,,,,,,Gold,
body_arab_desert_smg_mp_camo_tan,shirt,1,1,1,,,,,,desert,!ally,smg,!female,racetan,,,,,,Gold,
body_arab_desert_smg_mp_camo_wht,shirt,1,1,1,,,,,,desert,!ally,smg,!female,racewht,,,,,,Gold,
body_arab_desert_sniper_mp_camo,shirt,1,1,1,,,,,,desert,!ally,sniper,!female,!racewht,!raceblk,!racetan,,,,Gold,
body_arab_desert_sniper_mp_camo_brn,shirt,1,1,1,,,,,,desert,!ally,sniper,!female,raceblk,,,,,,Gold,
body_arab_desert_sniper_mp_camo_tan,shirt,1,1,1,,,,,,desert,!ally,sniper,!female,racetan,,,,,,Gold,
body_arab_desert_sniper_mp_camo_wht,shirt,1,1,1,,,,,,desert,!ally,sniper,!female,racewht,,,,,,Gold,
body_sas_ct_assault_mp_camo,shirt,1,1,1,,,,,,urban,ally,assault,!female,,,,,,,Gold,
body_sas_ct_female_assault_mp_camo,shirt,1,1,1,,,,,,urban,ally,assault,female,,,,,,,Gold,
body_sas_ct_female_lmg_mp_camo,shirt,1,1,1,,,,,,urban,ally,lmg,female,,,,,,,Gold,
body_sas_ct_female_shotgun_mp_camo,shirt,1,1,1,,,,,,urban,ally,shotgun,female,,,,,,,Gold,
body_sas_ct_female_smg_mp_camo,shirt,1,1,1,,,,,,urban,ally,smg,female,,,,,,,Gold,
body_sas_ct_female_sniper_mp_camo,shirt,1,1,1,,,,,,urban,ally,sniper,female,,,,,,,Gold,
body_sas_ct_lmg_mp_camo,shirt,1,1,1,,,,,,urban,ally,lmg,!female,,,,,,,Gold,
body_sas_ct_shotgun_mp_camo,shirt,1,1,1,,,,,,urban,ally,shotgun,!female,,,,,,,Gold,
body_sas_ct_smg_mp_camo,shirt,1,1,1,,,,,,urban,ally,smg,!female,,,,,,,Gold,
body_sas_ct_sniper_mp_camo,shirt,1,1,1,,,,,,urban,ally,sniper,!female,,,,,,,Gold,
body_sas_woodland_assault_mp_camo,shirt,1,1,1,,,,,,woodland,ally,assault,!female,!racewht,!raceblk,!racetan,,,,Gold,
body_sas_woodland_assault_mp_camo_brn,shirt,1,1,1,,,,,,woodland,ally,assault,!female,raceblk,,,,,,Gold,
body_sas_woodland_assault_mp_camo_tan,shirt,1,1,1,,,,,,woodland,ally,assault,!female,racetan,,,,,,Gold,
body_sas_woodland_assault_mp_camo_wht,shirt,1,1,1,,,,,,woodland,ally,assault,!female,racewht,,,,,,Gold,
body_sas_woodland_female_assault_patch_mp_camo,shirt,1,1,1,,,,,,woodland,ally,assault,female,!racewht,!raceblk,!racetan,,,,Gold,
body_sas_woodland_female_assault_patch_mp_camo_brn,shirt,1,1,1,,,,,,woodland,ally,assault,female,raceblk,,,,,,Gold,
body_sas_woodland_female_assault_patch_mp_camo_tan,shirt,1,1,1,,,,,,woodland,ally,assault,female,racetan,,,,,,Gold,
body_sas_woodland_female_assault_patch_mp_camo_wht,shirt,1,1,1,,,,,,woodland,ally,assault,female,racewht,,,,,,Gold,
body_sas_woodland_female_lmg_patch_mp_camo,shirt,1,1,1,,,,,,woodland,ally,lmg,female,,,,,,,Gold,
body_sas_woodland_female_shotgun_patch_mp_camo,shirt,1,1,1,,,,,,woodland,ally,shotgun,female,!racewht,!raceblk,!racetan,,,,Gold,
body_sas_woodland_female_shotgun_patch_mp_camo_brn,shirt,1,1,1,,,,,,woodland,ally,shotgun,female,raceblk,,,,,,Gold,
body_sas_woodland_female_shotgun_patch_mp_camo_tan,shirt,1,1,1,,,,,,woodland,ally,shotgun,female,racetan,,,,,,Gold,
body_sas_woodland_female_shotgun_patch_mp_camo_wht,shirt,1,1,1,,,,,,woodland,ally,shotgun,female,racewht,,,,,,Gold,
body_sas_woodland_female_smg_patch_mp_camo,shirt,1,1,1,,,,,,woodland,ally,smg,female,,,,,,,Gold,
body_sas_woodland_female_sniper_patch_mp_camo,shirt,1,1,1,,,,,,woodland,ally,sniper,female,!racewht,!raceblk,!racetan,,,,Gold,
body_sas_woodland_female_sniper_patch_mp_camo_brn,shirt,1,1,1,,,,,,woodland,ally,sniper,female,raceblk,,,,,,Gold,
body_sas_woodland_female_sniper_patch_mp_camo_tan,shirt,1,1,1,,,,,,woodland,ally,sniper,female,racetan,,,,,,Gold,
body_sas_woodland_female_sniper_patch_mp_camo_wht,shirt,1,1,1,,,,,,woodland,ally,sniper,female,racewht,,,,,,Gold,
body_sas_woodland_lmg_mp_camo,shirt,1,1,1,,,,,,woodland,ally,lmg,!female,!racewht,!raceblk,!racetan,,,,Gold,
body_sas_woodland_lmg_mp_camo_brn,shirt,1,1,1,,,,,,woodland,ally,lmg,!female,raceblk,,,,,,Gold,
body_sas_woodland_lmg_mp_camo_tan,shirt,1,1,1,,,,,,woodland,ally,lmg,!female,racetan,,,,,,Gold,
body_sas_woodland_lmg_mp_camo_wht,shirt,1,1,1,,,,,,woodland,ally,lmg,!female,racewht,,,,,,Gold,
body_sas_woodland_shotgun_mp_camo,shirt,1,1,1,,,,,,woodland,ally,shotgun,!female,!racewht,!raceblk,!racetan,,,,Gold,
body_sas_woodland_shotgun_mp_camo_brn,shirt,1,1,1,,,,,,woodland,ally,shotgun,!female,raceblk,,,,,,Gold,
body_sas_woodland_shotgun_mp_camo_tan,shirt,1,1,1,,,,,,woodland,ally,shotgun,!female,racetan,,,,,,Gold,
body_sas_woodland_shotgun_mp_camo_wht,shirt,1,1,1,,,,,,woodland,ally,shotgun,!female,racewht,,,,,,Gold,
body_sas_woodland_smg_mp_camo,shirt,1,1,1,,,,,,woodland,ally,smg,!female,!racewht,!raceblk,!racetan,,,,Gold,
body_sas_woodland_smg_mp_camo_brn,shirt,1,1,1,,,,,,woodland,ally,smg,!female,raceblk,,,,,,Gold,
body_sas_woodland_smg_mp_camo_tan,shirt,1,1,1,,,,,,woodland,ally,smg,!female,racetan,,,,,,Gold,
body_sas_woodland_smg_mp_camo_wht,shirt,1,1,1,,,,,,woodland,ally,smg,!female,racewht,,,,,,Gold,
body_sas_woodland_sniper_mp_camo,shirt,1,1,1,,,,,,woodland,ally,sniper,!female,!racewht,!raceblk,!racetan,,,,Gold,
body_sas_woodland_sniper_mp_camo_brn,shirt,1,1,1,,,,,,woodland,ally,sniper,!female,raceblk,,,,,,Gold,
body_sas_woodland_sniper_mp_camo_tan,shirt,1,1,1,,,,,,woodland,ally,sniper,!female,racetan,,,,,,Gold,
body_sas_woodland_sniper_mp_camo_wht,shirt,1,1,1,,,,,,woodland,ally,sniper,!female,racewht,,,,,,Gold,
body_spetsnaz_urban_assault_mp_camo,shirt,1,1,1,,,,,,urban,!ally,assault,!female,,,,,,,Gold,
body_spetsnaz_urban_female_sniper_mp_camo,shirt,1,1,1,,,,,,urban,!ally,sniper,female,,,,,,,Gold,
body_spetsnaz_urban_lmg_mp_camo,shirt,1,1,1,,,,,,urban,!ally,lmg,!female,!racewht,!raceblk,!racetan,,,,Gold,
body_spetsnaz_urban_lmg_mp_camo_brn,shirt,1,1,1,,,,,,urban,!ally,lmg,!female,raceblk,,,,,,Gold,
body_spetsnaz_urban_lmg_mp_camo_tan,shirt,1,1,1,,,,,,urban,!ally,lmg,!female,racetan,,,,,,Gold,
body_spetsnaz_urban_lmg_mp_camo_wht,shirt,1,1,1,,,,,,urban,!ally,lmg,!female,racewht,,,,,,Gold,
body_spetsnaz_urban_shotgun_mp_camo,shirt,1,1,1,,,,,,urban,!ally,shotgun,!female,!racewht,!raceblk,!racetan,,,,Gold,
body_spetsnaz_urban_shotgun_mp_camo_brn,shirt,1,1,1,,,,,,urban,!ally,shotgun,!female,raceblk,,,,,,Gold,
body_spetsnaz_urban_shotgun_mp_camo_tan,shirt,1,1,1,,,,,,urban,!ally,shotgun,!female,racetan,,,,,,Gold,
body_spetsnaz_urban_shotgun_mp_camo_wht,shirt,1,1,1,,,,,,urban,!ally,shotgun,!female,racewht,,,,,,Gold,
