id,furniture kit name,Global Unique ID,Name,Description,Image,Weapon Classes,AST Item,SMG Item,LMG Item,SHT Item,SNP Item,PST Item,productionLevel,
0,none,0x10002F2,MPUI_NO_FURNITUREKIT,PERKS_NO_FURNITUREKIT,weapon_missing_image,ast smg lmg sht snp pst,,,,,,,Gold,
1,base,0x10002F3,MPUI_NO_FURNITUREKIT,MPUI_NO_FURNITUREKIT,weapon_missing_image,ast smg lmg sht snp pst,,,,,,,Gold,
2,cmp,0x100C6C4,LOOT_DEC_FK_REWARD_03,,h1_weapon_kit_icon_competition,sht,,,,,,,LootDrop1,
3,gsr,0x100C6CE,LOOT_FK_GSR,,h1_weapon_kit_icon_gunslinger,pst,,,,,,,LootDrop1,
4,asn,0x100C6C0,LOOT_FK_ASN,,h1_weapon_kit_icon_assassin,snp,,,,,,,LootDrop1,
5,btw,0x100C6C2,LOOT_FK_BTW,,h1_weapon_kit_icon_battleworn,ast,,,,,,,LootDrop1,
6,war,0x100C6CB,LOOT_FK_WAR,,h1_weapon_kit_icon_warfighter,lmg,,,,,,,LootDrop1,
7,clh,0x100B2D9,LOOT_FK_CLH,,h1_weapon_kit_icon_cliffhanger,smg,,,,,,,LootDrop1,
8,fcn,0x100B2DA,LOOT_FK_FCN,,h1_weapon_kit_icon_faction,snp,,,,,,,LootDrop1,
9,gvd,0x100AB09,LOOT_FK_GVD,,h1_weapon_kit_icon_gravedigger,sht,,,,,,,LootDrop1,
10,nse,0x100AEF2,LOOT_FK_NSE,,h1_weapon_kit_icon_norse,lmg,,,,,,,LootDrop1,
11,scn,0x100B2DB,LOOT_FK_SCN,,h1_weapon_kit_icon_scorpion,ast,,,,,,,LootDrop1,
12,cpr,0x100AEF1,LOOT_DEC_FK_06,,h1_weapon_kit_icon_competition_skin,pst,,,,,,,LootDrop1,
13,lby,0x100D00B,LOOT_ITEMSET_DEFAULT,,h1_weapon_kit_icon_battleworn,,,,,,,,LootDrop1,
14,bts,0x100C6C1,LOOT_JAN_FK_REWARD_01,,h1_weapon_kit_icon_battlescarred,smg,,,,,,,LootDrop2,
15,htm,0x100C6CF,LOOT_JAN_FK_REWARD_02,,h1_weapon_kit_icon_huntsman,snp,,,,,,,LootDrop2,
