h1_saw_mp,base,1,wpn_h1_lmg_m249_edr_vm_camo,wpn_h1_lmg_m249_edr_npc_camo,,wpn_h1_lmg_m249_edr_vm_wet_camo,wpn_h1_lmg_m249_edr_npc_wet_camo,,wpn_h1_lmg_m249_edr_lobby,LootDrop6,
h1_saw_mp,bipod,1,attach_h1_bipod_m249_edr_vm,attach_h1_bipod_m249_edr_npc,,,,,,LootDrop6,
h1_saw_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop6,
h1_saw_mp,grip,0,attach_h1_foregrip_m1014_vm,attach_h1_foregrip_m1014_npc,,,,,,LootDrop6,
h1_saw_mp,holosight,0,attach_h1_optics_holosight_vm,attach_h1_optics_holosight_npc,,,,,,LootDrop6,
h1_saw_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,LootDrop6,
h1_saw_mp,reflexvar,0,attach_h1_optic_reflex_variant_vm_mp,attach_h1_optic_reflex_variant_npc_mp,,,,,,LootDrop6,
h1_saw_mp,thermal,0,attach_h1_scope_thermal_vm_mp,attach_h1_scope_thermal_npc_mp,,,,,,LootDrop6,
h1_m60e4_mp,base,1,wpn_h1_lmg_m60_edr_vm_camo,wpn_h1_lmg_m60_edr_npc_camo,,wpn_h1_lmg_m60_edr_vm_wet_camo,wpn_h1_lmg_m60_edr_npc_wet_camo,,wpn_h1_lmg_m60_edr_lobby,LootDrop6,
h1_m60e4_mp,acog,0,attach_h1_scope_acog_vm,attach_h1_scope_acog_npc,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop6,
h1_m60e4_mp,grip,0,attach_h1_foregrip_m60_patch_vm,attach_h1_foregrip_m60_npc_patch,,,,,,LootDrop6,
h1_m60e4_mp,holosight,0,attach_h1_optics_holosight_vm,attach_h1_optics_holosight_npc,,,,,,LootDrop6,
h1_m60e4_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,LootDrop6,
h1_m60e4_mp,reflexvar,0,attach_h1_optic_reflex_variant_vm_mp,attach_h1_optic_reflex_variant_npc_mp,,,,,,LootDrop6,
h1_m60e4_mp,thermal,0,attach_h1_scope_thermal_vm_mp,attach_h1_scope_thermal_npc_mp,,,,,,LootDrop6,
h1_feblmg_mp,base,1,wpn_h1_lmg_pkm_edr_vm_camo,wpn_h1_lmg_pkm_edr_npc_camo,,wpn_h1_lmg_pkm_edr_vm_wet_camo,wpn_h1_lmg_pkm_edr_npc_wet_camo,,wpn_h1_lmg_pkm_edr_lobby,LootDrop6,
h1_feblmg_mp,acog,0,attach_h1_scope_acog_vm,attach_h1_scope_acog_npc,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop6,
h1_feblmg_mp,grip,0,attach_h1_foregrip_ar_vm_mp,attach_h1_foregrip_ar_npc_mp,,,,,,LootDrop6,
h1_feblmg_mp,holosight,0,attach_h1_optics_holosight_vm,attach_h1_optics_holosight_npc,,,,,,LootDrop6,
h1_feblmg_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,LootDrop6,
h1_feblmg_mp,reflexvar,0,attach_h1_optic_reflex_variant_vm_mp,attach_h1_optic_reflex_variant_npc_mp,,,,,,LootDrop6,
h1_feblmg_mp,thermal,0,attach_h1_scope_thermal_vm_mp,attach_h1_scope_thermal_npc_mp,,,,,,LootDrop6,
h1_rpd_mp,base,1,wpn_h1_lmg_rpd_edr_vm_camo,wpn_h1_lmg_rpd_edr_npc_camo,,wpn_h1_lmg_rpd_edr_vm_wet_camo,wpn_h1_lmg_rpd_edr_npc_wet_camo,,wpn_h1_lmg_rpd_edr_lobby,LootDrop6,
h1_rpd_mp,bipod,1,attach_h1_bipod_rpd_patch_vm,attach_h1_bipod_rpd_mp_patch_npc,,,,,,Gold,
h1_rpd_mp,defaultgrip,1,attach_h1_foregrip_default_rpd_edr_vm_camo,attach_h1_foregrip_default_rpd_edr_npc_camo,,attach_h1_foregrip_default_rpd_edr_vm_wet_camo,attach_h1_foregrip_default_rpd_edr_npc_wet_camo,,,LootDrop6,
h1_rpd_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop6,
h1_rpd_mp,grip,0,attach_h1_foregrip_rpd_edr_vm,attach_h1_foregrip_rpd_edr_npc,defaultgrip,,,,,LootDrop6,
h1_rpd_mp,holosight,0,attach_h1_optics_holosight_vm,attach_h1_optics_holosight_npc,,,,,,LootDrop6,
h1_rpd_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,LootDrop6,
h1_rpd_mp,reflexvar,0,attach_h1_optic_reflex_variant_vm_mp,attach_h1_optic_reflex_variant_npc_mp,,,,,,LootDrop6,
h1_rpd_mp,thermal,0,attach_h1_scope_thermal_vm_mp,attach_h1_scope_thermal_npc_mp,,,,,,LootDrop6,
h1_junlmg_mp,base,1,wpn_h1_lmg_mk8_edr_vm_camo,wpn_h1_lmg_mk8_edr_npc_camo,,wpn_h1_lmg_mk8_edr_vm_wet_camo,wpn_h1_lmg_mk8_edr_npc_wet_camo,,wpn_h1_lmg_mk8_edr_lobby,LootDrop6,
h1_junlmg_mp,acog,0,attach_h1_scope_acog_vm,attach_h1_scope_acog_npc,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop6,
h1_junlmg_mp,grip,0,attach_h1_foregrip_mk8_edr_vm_camo,attach_h1_foregrip_mk8_edr_npc_camo,,,,,,LootDrop6,
h1_junlmg_mp,holosight,0,attach_h1_optics_holosight_vm,attach_h1_optics_holosight_npc,,,,,,LootDrop6,
h1_junlmg_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,LootDrop6,
h1_junlmg_mp,reflexvar,0,attach_h1_optic_reflex_variant_vm_mp,attach_h1_optic_reflex_variant_npc_mp,,,,,,LootDrop6,
h1_junlmg_mp,thermal,0,attach_h1_scope_thermal_vm_patch_mp,attach_h1_scope_thermal_npc_patch_mp,,,,,,LootDrop6,
