h1_m1014_mp,base,1,wpn_h1_shotgun_m1014_pgn_vm_camo,wpn_h1_shotgun_m1014_pgn_npc_camo,,wpn_h1_shotgun_m1014_pgn_vm_wet_camo,wpn_h1_shotgun_m1014_pgn_npc_wet_camo,,wpn_h1_shotgun_m1014_pgn_lobby,LootDrop3,
h1_m1014_mp,grip,0,attach_h1_foregrip_m1014_pgn_vm,attach_h1_foregrip_m1014_pgn_npc,,,,,,LootDrop3,
h1_m1014_mp,holosight,0,attach_h1_optics_holosight_vm,attach_h1_optics_holosight_npc,,,,,,LootDrop3,
h1_m1014_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,LootDrop3,
h1_m1014_mp,reflexvar,0,attach_h1_optic_reflex_variant_vm_mp,attach_h1_optic_reflex_variant_npc_mp,,,,,,LootDrop3,
h1_m1014_mp,thermal,0,attach_h1_scope_thermal_vm_patch_mp,attach_h1_scope_thermal_npc_patch_mp,,,,,,LootDrop3,
h1_winchester1200_mp,base,1,wpn_h1_shotgun_w1200_pgn_vm_camo,wpn_h1_shotgun_w1200_pgn_npc_camo,,wpn_h1_shotgun_w1200_pgn_vm_wet_camo,wpn_h1_shotgun_w1200_pgn_npc_wet_camo,,wpn_h1_shotgun_w1200_pgn_lobby,LootDrop3,
h1_winchester1200_mp,grip,0,attach_h1_foregrip_m1014_pgn_vm,attach_h1_foregrip_m1014_pgn_npc,,,,,,LootDrop3,
h1_winchester1200_mp,holosight,0,attach_h1_optics_holosight_vm,attach_h1_optics_holosight_npc,,,,,,LootDrop3,
h1_winchester1200_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,LootDrop3,
h1_winchester1200_mp,reflexvar,0,attach_h1_optic_reflex_variant_vm_mp,attach_h1_optic_reflex_variant_npc_mp,,,,,,LootDrop3,
h1_winchester1200_mp,thermal,0,attach_h1_scope_thermal_vm_patch_mp,attach_h1_scope_thermal_npc_patch_mp,,,,,,LootDrop3,
h1_kam12_mp,base,1,wpn_h1_shotgun_kam12_pgn_vm_camo,wpn_h1_shotgun_kam12_pgn_npc_camo,,wpn_h1_shotgun_kam12_pgn_vm_wet_camo,wpn_h1_shotgun_kam12_pgn_npc_wet_camo,,wpn_h1_shotgun_kam12_pgn_lobby,LootDrop3,
h1_kam12_mp,grip,0,attach_h1_foregrip_m1014_pgn_vm,attach_h1_foregrip_m1014_pgn_npc,,,,,,LootDrop3,
h1_kam12_mp,holosight,0,attach_h1_optics_holosight_vm,attach_h1_optics_holosight_npc,,,,,,LootDrop3,
h1_kam12_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,LootDrop3,
h1_kam12_mp,reflexvar,0,attach_h1_optic_reflex_variant_vm_mp,attach_h1_optic_reflex_variant_npc_mp,,,,,,LootDrop3,
h1_kam12_mp,thermal,0,attach_h1_scope_thermal_vm_patch_mp,attach_h1_scope_thermal_npc_patch_mp,,,,,,LootDrop3,
h1_junsho_mp,base,1,wpn_h1_shotgun_ranger_pgn_vm_camo,wpn_h1_shotgun_ranger_pgn_npc_camo,,wpn_h1_shotgun_ranger_pgn_vm_wet_camo,wpn_h1_shotgun_ranger_pgn_npc_wet_camo,,wpn_h1_shotgun_ranger_pgn_lobby_patch,LootDrop5,
