h1_aprsmg_mp,base,1,wpn_h1_smg_fang45_uop_vm_camo,wpn_h1_smg_fang45_uop_npc_camo,,wpn_h1_smg_fang45_uop_vm_wet_camo,wpn_h1_smg_fang45_uop_npc_wet_camo,,wpn_h1_smg_fang45_uop_lobby,LootDrop6,
h1_aprsmg_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop6,
h1_aprsmg_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,LootDrop6,
h1_aprsmg_mp,silencer,0,attach_h1_silencer_smg_vm,attach_h1_silencer_smg_npc,,attach_h1_silencer_smg_vm_wet,attach_h1_silencer_smg_npc_wet,,,LootDrop6,
h1_febsmg_mp,base,1,wpn_h1_smg_mac10_uop_vm_camo,wpn_h1_smg_mac10_uop_npc_camo,,wpn_h1_smg_mac10_uop_vm_wet_camo,wpn_h1_smg_mac10_uop_npc_wet_camo,,wpn_h1_smg_mac10_uop_lobby,LootDrop6,
h1_febsmg_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop6,
h1_febsmg_mp,holosight,0,attach_h1_optics_holosight_vm,attach_h1_optics_holosight_npc,,,,,,LootDrop6,
h1_febsmg_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,LootDrop6,
h1_febsmg_mp,reflexvar,0,attach_h1_optic_reflex_variant_vm_mp,attach_h1_optic_reflex_variant_npc_mp,,,,,,LootDrop6,
h1_febsmg_mp,silencer,0,attach_h1_silencer_smg_vm,attach_h1_silencer_smg_npc,,attach_h1_silencer_smg_vm_wet,attach_h1_silencer_smg_npc_wet,,,LootDrop6,
h1_febsmg_mp,thermal,0,attach_h1_scope_thermal_vm_patch_mp,attach_h1_scope_thermal_npc_patch_mp,,,,,,LootDrop6,
h1_mp5_mp,base,1,wpn_h1_smg_mp5_uop_vm_camo,wpn_h1_smg_mp5_uop_npc_camo,,wpn_h1_smg_mp5_uop_vm_wet_camo,wpn_h1_smg_mp5_uop_npc_wet_camo,,wpn_h1_smg_mp5_uop_lobby,LootDrop6,
h1_mp5_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop6,
h1_mp5_mp,holosight,0,attach_h1_optics_holosight_vm,attach_h1_optics_holosight_npc,,,,,,LootDrop6,
h1_mp5_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,LootDrop6,
h1_mp5_mp,reflexvar,0,attach_h1_optic_reflex_variant_vm_mp,attach_h1_optic_reflex_variant_npc_mp,,,,,,LootDrop6,
h1_mp5_mp,silencer,0,attach_h1_silencer_smg_vm,attach_h1_silencer_smg_npc,,attach_h1_silencer_smg_vm_wet,attach_h1_silencer_smg_npc_wet,,,LootDrop6,
h1_mp5_mp,thermal,0,attach_h1_scope_thermal_vm_patch_mp,attach_h1_scope_thermal_npc_patch_mp,,,,,,LootDrop6,
h1_p90_mp,base,1,wpn_h1_smg_p90_uop_vm_camo,wpn_h1_smg_p90_uop_npc_camo,,wpn_h1_smg_p90_uop_vm_wet_camo,wpn_h1_smg_p90_uop_npc_wet_camo,,wpn_h1_smg_p90_uop_lobby,LootDrop6,
h1_p90_mp,acog,0,attach_h1_scope_acog_vm_mp,attach_h1_scope_acog_npc_mp,,attach_h1_scope_acog_vm_wet_mp,attach_h1_scope_acog_npc_wet_mp,,,LootDrop6,
h1_p90_mp,holosight,0,attach_h1_optics_holosight_vm,attach_h1_optics_holosight_npc,,,,,,LootDrop6,
h1_p90_mp,reflex,0,attach_h1_optic_reflex_vm,attach_h1_optic_reflex_npc,,attach_h1_optic_reflex_vm_wet,attach_h1_optic_reflex_npc_wet,,,LootDrop6,
h1_p90_mp,reflexvar,0,attach_h1_optic_reflex_variant_vm_mp,attach_h1_optic_reflex_variant_npc_mp,,,,,,LootDrop6,
h1_p90_mp,silencer,0,attach_h1_silencer_smg_vm,attach_h1_silencer_smg_npc,,attach_h1_silencer_smg_vm_wet,attach_h1_silencer_smg_npc_wet,,,LootDrop6,
h1_p90_mp,thermal,0,attach_h1_scope_thermal_vm_patch_mp,attach_h1_scope_thermal_npc_patch_mp,,,,,,LootDrop6,
h1_uzi_mp,base,1,wpn_h1_smg_mini_uzi_uop_vm_camo,wpn_h1_smg_mini_uzi_uop_npc_camo,,wpn_h1_smg_mini_uzi_uop_vm_wet_camo,wpn_h1_smg_mini_uzi_uop_npc_wet_camo,,wpn_h1_smg_mini_uzi_uop_lobby,LootDrop6,
h1_uzi_mp,defaultgrip,1,attach_h1_stock_smg_miniuzi_uop_vm_camo,attach_h1_stock_smg_miniuzi_uop_npc_camo,,attach_h1_stock_smg_miniuzi_uop_vm_wet_camo,attach_h1_stock_smg_miniuzi_uop_npc_wet_camo,,,LootDrop6,
