id,name,localizedStringID,content promo,reward,item 0,item 1,item 2,item 3,item 4,item 5,item 6,item 7,productionLevel,
1,itemset_dec_accolade,LOOT_DEC_ITEMSET_01_ACCOLADE,0,0x100C682,0x1005901,0x1005902,0x1005903,0x1005CE9,0x1005CEA,0x10060D1,0x10064B9,,LootDrop1,
2,itemset_dec_arrowhead,LOOT_DEC_ITEMSET_03_ARROWHEAD,0,0x100C684,0x1005904,0x1005905,0x1005906,0x1005CEB,0x1005CEC,0x10060D2,0x10064BA,,LootDrop1,
3,itemset_dec_assassin,LOOT_DEC_ITEMSET_04_ASSASSIN,0,0x100C6C0,0x1001E69,0x10031F1,0x10039C1,0x10064BB,0x10087E4,0x100B6C1,,,LootDrop1,
4,itemset_dec_bad_karma,LOOT_DEC_ITEMSET_05_BAD_KARMA,0,0x100C670,0x1001A81,0x1001A82,0x1001E6A,0x1001E6B,0x1001E6C,0x1002251,0x1002639,,LootDrop1,
5,itemset_dec_bamf,LOOT_DEC_ITEMSET_32_SPECIAL,0,0x100C681,0x1002E0D,0x10031F3,0x10039C8,0x10039C9,0x10039CA,0x1003DAC,0x100457B,,LootDrop1,
6,itemset_dec_battle_worn,LOOT_DEC_ITEMSET_06_BATTLE_WORN,0,0x100C6C2,0x1001A83,0x10035D9,0x1003DA9,0x1005907,0x1008BCB,0x100B6C2,,,LootDrop1,
7,itemset_dec_bestiary,LOOT_DEC_ITEMSET_02_APOCALYPSE,0,0x100C6AA,0x10087E1,0x10087E2,0x10087E3,0x1008BC9,0x1008BCA,0x1008FB1,0x1009399,,LootDrop1,
8,itemset_dec_cqbbayonet,LOOT_DEC_ITEMSET_40_BAYONET,0,0x100C6DD,0x1002E0E,0x100457C,0x1001AC1,0x100594B,0x10087FA,0x100BAB7,,,LootDrop1,
9,itemset_dec_captain,LOOT_DEC_ITEMSET_07_CAPTAIN,0,0x100C6D3,0x100B6C3,0x100B6C4,0x100BAA9,0x100BAAA,0x100BAAB,0x100BE91,0x100C279,,LootDrop1,
10,itemset_dec_champion,LOOT_DEC_ITEMSET_08_CHAMPION,0,0x100C685,0x1005908,0x1005909,0x100590A,0x1005CED,0x1005CEE,0x10060D3,0x10064BC,,LootDrop1,
11,itemset_dec_cliffhanger,LOOT_DEC_ITEMSET_10_CLIFFHANGER,0,0x100C695,0x1001A84,0x1002E09,0x1004191,0x1005CEF,0x10087E8,0x100B2D9,0x100B6C5,,LootDrop1,
12,itemset_dec_colonel,LOOT_DEC_ITEMSET_11_COLONEL,0,0x100C6D4,0x100B6C6,0x100B6C7,0x100BAAC,0x100BAAD,0x100BAAE,0x100BE92,0x100C27A,,LootDrop1,
13,itemset_dec_commander,LOOT_DEC_ITEMSET_12_COMMANDER,0,0x100C686,0x100590B,0x100590C,0x100590D,0x1005CF0,0x1005CF1,0x10060D4,0x10064BD,,LootDrop1,
14,itemset_dec_competitor,LOOT_DEC_ITEMSET_13_COMPETITOR,0,0x100C6C4,0x1001A85,0x1002A21,0x1003DAA,0x1005CF2,0x100939B,0x100AEF1,0x100B6C8,,LootDrop1,
15,itemset_dec_cursed,LOOT_DEC_ITEMSET_14_CURSED,0,0x100C672,0x1001A86,0x1001A87,0x1001E6D,0x1001E6E,0x1001E6F,0x1002252,0x100263A,,LootDrop1,
16,itemset_dec_deep_end,LOOT_DEC_ITEMSET_15_DEEP_END,0,0x100C673,0x1001A88,0x1001A89,0x1001E70,0x1001E71,0x1001E72,0x1002253,0x100263B,,LootDrop1,
17,itemset_dec_devildog,LOOT_DEC_ITEMSET_18_FORWARD,0,0x100C680,0x1002E0A,0x10031F2,0x10039C2,0x10039C3,0x10039C4,0x1003DAB,0x1004579,,LootDrop1,
18,itemset_dec_fareast,LOOT_DEC_ITEMSET_39_WRONG,0,0x100C6BF,0x10087F7,0x10087F8,0x10087F9,0x1008BDB,0x1008BDC,0x1008FB8,0x10093A2,,LootDrop1,
19,itemset_dec_firefly,LOOT_DEC_ITEMSET_17_FIREFLY,0,0x100C689,0x100590E,0x100590F,0x1005910,0x1005CF3,0x1005CF4,0x10060D5,0x10064BE,,LootDrop1,
20,itemset_dec_general,LOOT_DEC_ITEMSET_19_GENERAL,0,0x100C6D5,0x100B6C9,0x100B6CA,0x100B6CB,0x100BAAF,0x100BAB0,0x100BE93,0x100C27B,,LootDrop1,
21,itemset_dec_geometric,LOOT_DEC_ITEMSET_16_EIGHT,0,0x100C6AE,0x10087E9,0x10087EA,0x10087EB,0x1008BCE,0x1008FB3,0x100939C,0x100939D,,LootDrop1,
22,itemset_dec_gravedigger,LOOT_DEC_ITEMSET_20_GRAVEDIGGER,0,0x100C697,0x1001A8A,0x1002A22,0x10039C5,0x10060D6,0x100939E,0x100AB09,0x100BAB1,,LootDrop1,
23,itemset_dec_gunslinger,LOOT_DEC_ITEMSET_21_GUNSLINGER,0,0x100C6CE,0x1002254,0x1002A23,0x10039C6,0x1005CF5,0x1007459,0x1008BCF,,,LootDrop1,
24,itemset_dec_homeland,LOOT_DEC_ITEMSET_22_HOMELAND,0,0x100C68C,0x1005911,0x1005912,0x1005913,0x1005CF6,0x1005CF7,0x10060D7,0x10064BF,,LootDrop1,
25,itemset_dec_lieutenant,LOOT_DEC_ITEMSET_24_LIEUTENANT,0,0x100C6D9,0x100B6CD,0x100B6CE,0x100BAB2,0x100BAB3,0x100BAB4,0x100BE94,0x100C27C,,LootDrop1,
26,itemset_dec_mechanized,LOOT_DEC_ITEMSET_25_MECHANIZED,0,0x100C676,0x1001A8B,0x1001A8C,0x1001E73,0x1001E74,0x1001E75,0x1002256,0x100263C,,LootDrop1,
27,itemset_dec_mineral,LOOT_DEC_ITEMSET_09_CHILI,0,0x100C6AC,0x10087E5,0x10087E6,0x10087E7,0x1008BCC,0x1008BCD,0x1008FB2,0x100939A,,LootDrop1,
28,itemset_dec_omsk,LOOT_DEC_ITEMSET_23_OMSK,0,0x100C6DE,0x1002E0B,0x100457A,0x100594C,0x1002267,0x10087EC,0x100B6CC,,,LootDrop1,
29,itemset_dec_faction,LOOT_DEC_ITEMSET_26_PATRIOT,0,0x100C6B7,0x10087ED,0x10087EE,0x1008BD0,0x1008BD1,0x1008BD2,0x1008FB4,0x100B2DA,,LootDrop1,
30,itemset_dec_royal,LOOT_DEC_ITEMSET_27_ROYAL,0,0x100C679,0x1001A8D,0x1001A8E,0x1001E76,0x1001E77,0x1001E78,0x1002257,0x100263D,,LootDrop1,
31,itemset_dec_norse,LOOT_DEC_ITEMSET_28_RUNIC,0,0x100C6BB,0x10087EF,0x10087F0,0x1008BD3,0x1008BD4,0x1008BD5,0x100939F,0x100AEF2,,LootDrop1,
32,itemset_dec_scorpion,LOOT_DEC_ITEMSET_29_SCORPION,0,0x100C69C,0x1001A8F,0x1002E0C,0x10039C7,0x1005CF8,0x1008FB5,0x100B2DB,0x100B6CF,,LootDrop1,
33,itemset_dec_sergeant,LOOT_DEC_ITEMSET_30_SERGEANT,0,0x100C6DA,0x100B6D0,0x100B6D1,0x100B6D2,0x100BAB5,0x100BAB6,0x100BE95,0x100C27D,,LootDrop1,
34,itemset_dec_shield,LOOT_DEC_ITEMSET_31_SHIELD,0,0x100C690,0x1005915,0x1005916,0x1005917,0x1005CF9,0x1005CFA,0x10060D8,0x10064C0,,LootDrop1,
35,itemset_dec_super,LOOT_DEC_ITEMSET_33_SUPER,0,0x100C67C,0x1001A90,0x1001A91,0x1001E79,0x1001E7A,0x1001E7B,0x1002258,0x100263E,,LootDrop1,
36,itemset_dec_task_force,LOOT_DEC_ITEMSET_34_TASK_FORCE,0,0x100C693,0x1005918,0x1005919,0x100591A,0x1005CFB,0x1005CFC,0x10060D9,0x10064C1,,LootDrop1,
37,itemset_dec_toxic,LOOT_DEC_ITEMSET_35_TOXIC,0,0x100C6BC,0x10087F1,0x10087F2,0x10087F3,0x1008BD6,0x1008BD7,0x1008FB6,0x10093A0,,LootDrop1,
38,itemset_dec_warfighter,LOOT_DEC_ITEMSET_36_WARFIGHTER,0,0x100C6CB,0x1001A92,0x10035DA,0x1003DAD,0x100591B,0x1008BD8,0x100BE96,,,LootDrop1,
39,itemset_dec_warrior,LOOT_DEC_ITEMSET_37_WARRIOR,0,0x100C67E,0x1001A93,0x1001A94,0x1001E7C,0x1001E7D,0x1001E7E,0x1002259,0x100263F,,LootDrop1,
