a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,,,,,,,,,,,,,,,,,,,,,
maxprestige,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,rank_pfc,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
1,rank_pfc1,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
2,rank_pfc2,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
3,rank_lc,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
4,rank_lc1,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
5,rank_lc2,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
6,rank_cpl,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
7,rank_cpl1,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
8,rank_cpl2,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
9,rank_sgt,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
10,rank_sgt1,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
11,rank_sgt2,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
12,rank_ssgt,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
13,rank_ssgt1,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
14,rank_ssgt2,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
15,rank_gysgt,rank_prestige1,rank_prestige2,rank_prestige3,rank_prestige4,rank_prestige5,rank_prestige6,rank_prestige7,rank_prestige8,rank_prestige9,rank_prestige10,rank_prestige11,rank_prestige12,rank_prestige13,rank_prestige14,rank_prestige15,rank_prestige16,rank_prestige17,rank_prestige18,rank_prestige19,rank_prestige20,rank_prestige21,rank_prestige22,rank_prestige23,rank_prestige24,rank_prestige25,rank_prestige26,rank_prestige27,rank_prestige28,rank_prestige29,rank_prestige30,
