a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,p16,r17,s18,t19,u20,v21,w22,x23,y24,z25,aa26,bb27,cc28,dd29,ee30,ff31,gg32,hh33,ii34,jj35,kk36,ll37,mm38,mm39,nn40,oo41,pp42,qq43,rr44,ss45,tt46,uu47,vv48,ww49,xx50,yy51,zz52,aaa53,bbb54,ccc55,ddd56,eee57,fff58,ggg59,hhh60,iii61,jjj62,kkk63,lll64,mmm65,nnn66,
2940,7560,weapon_assault,WEAPON_AK47,h1_ak47,,weapon_ak47,PERKS_FULLY_AUTOMATIC_WITH5,,weapon_stow_mid_up,,acogmwr,holosightmwr,reflexmwr,reflexvarmwr,thermalmwr,gripmwr,glmwr,masterkeymwr,heartbeatmwr,glpremwr,longbarrelmwr,masterkeypremwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,50,75,75,50,66,,,,0x10002AC,,,,0,,0,0,run_and_gun,recruit|regular|hardened|veteran,,0,,,,0,0,Gold,
2943,7563,weapon_assault,WEAPON_G3,h1_g3,,weapon_g3,PERKS_SINGLEFIRE_WITH_A_HIGH,,weapon_stow_mid_up,,glmwr,masterkeymwr,acogmwr,holosightmwr,reflexmwr,reflexvarmwr,thermalmwr,heartbeatmwr,glpremwr,longbarrelmwr,masterkeypremwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,,90,60,75,35,66,,,,0x10002AF,,,,0,,0,0,run_and_gun,regular|hardened|veteran,,0,,,,0,0,Gold,
2944,7564,weapon_assault,WEAPON_G36C,h1_g36c,,weapon_g36c,PERKS_FULLY_AUTOMATIC_WITH7,,weapon_stow_mid_up,,glmwr,masterkeymwr,acogmwr,holosightmwr,reflexmwr,reflexvarmwr,thermalmwr,heartbeatmwr,glpremwr,longbarrelmwr,masterkeypremwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,,70,60,75,60,66,,,,0x10002B0,,,,0,,0,0,run_and_gun,hardened|veteran,,0,,,,0,0,Gold,
2945,7565,weapon_assault,WEAPON_M14,h1_m14,,weapon_m14,PERKS_SINGLEFIRE_WITH_HIGH,,weapon_stow_mid_up,,acogmwr,holosightmwr,reflexmwr,reflexvarmwr,thermalmwr,gripmwr,glmwr,masterkeymwr,heartbeatmwr,glpremwr,longbarrelmwr,masterkeypremwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,75,80,75,35,66,,,,0x10002B1,,,,0,,0,0,run_and_gun,hardened|veteran,,0,,,,0,0,Gold,
2946,7566,weapon_assault,WEAPON_M16,h1_m16,,weapon_m16a4,PERKS_SEMIAUTOMATIC_WITH_THREE,,weapon_stow_mid_up,,acogmwr,reflexmwr,glmwr,glpremwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,,,,,,,,,85,60,75,80,66,,,,0x10002B2,,,,0,,0,0,run_and_gun,recruit|regular|hardened|veteran,,0,,,,0,0,Gold,
2947,7567,weapon_assault,WEAPON_M4_CARBINE,h1_m4,,weapon_m4carbine,PERKS_FULLY_AUTOMATIC_WITH8,,weapon_stow_mid_up,,acogmwr,holosightmwr,reflexmwr,reflexvarmwr,thermalmwr,gripmwr,glmwr,masterkeymwr,heartbeatmwr,glpremwr,longbarrelmwr,masterkeypremwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,75,40,75,75,66,,,,0x10002B3,,,,0,,0,0,run_and_gun,regular|hardened|veteran,,0,,,,0,0,Gold,
2948,7568,weapon_assault,WEAPON_MP44,h1_mp44,,weapon_mp44,PERKS_FULLY_AUTOMATIC_WITH6,,weapon_stow_mid_up,,acogmwr,holosightmwr,reflexmwr,reflexvarmwr,thermalmwr,gripmwr,glmwr,masterkeymwr,heartbeatmwr,glpremwr,longbarrelmwr,masterkeypremwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,50,75,75,25,66,,,,0x10002B4,,,,0,,0,0,run_and_gun,veteran,,0,,,,0,0,Gold,
2949,7569,weapon_smg,WEAPON_AK74U,h1_ak74u,,weapon_aks74u,PERKS_FULLY_AUTOMATIC_WITH3,,weapon_stow_mid_up,,acogmwr,holosightmwr,reflexmwr,reflexvarmwr,thermalmwr,longbarrelmwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,,,,,,,65,85,40,60,100,,,,0x10002B7,,,,0,,0,0,run_and_gun|cqb,regular|hardened|veteran,,0,,,,0,0,Gold,
2950,7570,weapon_smg,WEAPON_MP5,h1_mp5,,weapon_mp5,PERKS_FULLY_AUTOMATIC_WITH,,weapon_stow_mid_up,,acogmwr,holosightmwr,reflexmwr,reflexvarmwr,thermalmwr,longbarrelmwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,,,,,,,85,75,45,65,100,,,,0x10002BA,,,,0,,0,0,run_and_gun|cqb,recruit|regular|hardened|veteran,,0,,,,0,0,Gold,
2951,7571,weapon_smg,WEAPON_P90,h1_p90,,weapon_p90,PERKS_FULLY_AUTOMATIC_WITH4,,weapon_stow_mid_up,,acogmwr,holosightmwr,reflexmwr,reflexvarmwr,thermalmwr,gripmwr,longbarrelmwr,silencermwr,xmagmwr,,,,,,,,,,,,,,,,,,,,,,80,65,35,90,100,,,,0x10002BD,,,,0,,0,0,run_and_gun|cqb,hardened|veteran,,0,,,,0,0,Gold,
