zone_names,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,
paused,,,mute_device,no_reverb,mute_device,default,,,,
mp_killcam_slomo,,,,,,,default,,,
painvision,,,,,,,default,,,
reverb_names,roomtype,drylevel,wetlevel,fade,,,,,,
no_reverb,default,1,0,0,,,,,,
filter_names,dsp_bus_name,type,freq,gain,q,,,,,
mute_device,all,lowpass,200,-12,1,,,,,
mute_device,voices,lowpass,300,-12,1,,,,,
mute_device,voices_critical,lowpass,325,-6,1,,,,,
mute_device,tactical_special,lowpass,20000,0,1,,,,,
mute_device,voices_unfiltered,lowpass,20000,0,1,,,,,
mute_device,weapons,lowpass,2500,-1,1,,,,,
mute_device,unoccluded,lowpass,10000,-1,1,,,,,
underwater,all,lowpass,300,-6,1,,,,,
underwater,weapons,lowpass,700,-6,1,,,,,
underwater,vehicles,lowpass,700,-6,1,,,,,
underwater,music,lowpass,20000,0,1,,,,,
underwater,voices_unfiltered,lowpass,20000,0,1,,,,,
underwater,unoccluded,lowpass,20000,0,1,,,,,
underwater,voices_critical,lowpass,20000,0,1,,,,,
underwater,voices,lowpass,800,-12,1,,,,,
flashbang,all,lowpass,500,-12,1,,,,,
flashbang,voices_unfiltered,lowpass,20000,0,1,,,,,
flashbang,plr_internal,lowpass,20000,0,1,,,,,
flashbang,voices_critical,lowpass,10000,-3,1,,,,,
flashbang,music,lowpass,20000,0,1,,,,,
occlusion_names,dsp_bus_name,freq,type,gain,q,,,,,
default,unoccluded,20000,highshelf,-1,1,,,,,
default,weapons,800,highshelf,-10,1,,,,,
default,emitters,800,highshelf,-10,1,,,,,
default,foley,800,highshelf,-10,1,,,,,
default,explosions,800,highshelf,-10,1,,,,,
default,vehicles,800,highshelf,-10,1,,,,,
default,air_vehicles,1500,highshelf,-10,1,,,,,
default,voices,800,highshelf,-10,1,,,,,
default,animals,800,highshelf,-10,1,,,,,
default,physics,800,highshelf,-10,1,,,,,
default,battlechatter,800,highshelf,-10,1,,,,,
default,scripted,800,highshelf,-10,1,,,,,
default,scripted1,800,highshelf,-10,1,,,,,
default,scripted2,800,highshelf,-10,1,,,,,
default,scripted3,800,highshelf,-10,1,,,,,
default,scripted4,800,highshelf,-10,1,,,,,
default,scripted5,800,highshelf,-10,1,,,,,
mp_tuned_default,default,1500,highshelf,-12,1,,,,,
mp_tuned_default,weapons,1800,highshelf,-12,1,,,,,
mp_tuned_default,weapons_dist,1800,highshelf,-12,1,,,,,
mp_tuned_default,ambience,600,highshelf,-12,1,,,,,
mp_tuned_default,emitters,300,highshelf,-12,1,,,,,
mp_tuned_default,quads,600,highshelf,-12,1,,,,,
mp_tuned_default,music,600,highshelf,-12,1,,,,,
mp_tuned_default,foley,300,highshelf,-12,1,,,,,
mp_tuned_default,explosions,1500,highshelf,-8,1,,,,,
mp_tuned_default,tactical,800,highshelf,-12,1,,,,,
mp_tuned_default,tactical_special,600,highshelf,-12,1,,,,,
mp_tuned_default,vehicles,800,highshelf,-12,1,,,,,
mp_tuned_default,air_vehicles,600,highshelf,-12,1,,,,,
mp_tuned_default,int_vehicles_1,600,highshelf,-12,1,,,,,
mp_tuned_default,int_vehicles_2,600,highshelf,-12,1,,,,,
mp_tuned_default,voices,1200,highshelf,-12,1,,,,,
mp_tuned_default,voices_critical,1200,highshelf,-12,1,,,,,
mp_tuned_default,voices_unfiltered,1200,highshelf,-12,1,,,,,
mp_tuned_default,animals,800,highshelf,-12,1,,,,,
mp_tuned_default,physics,800,highshelf,-12,1,,,,,
mp_tuned_default,battlechatter,800,highshelf,-12,1,,,,,
mp_tuned_default,interface,800,highshelf,-12,1,,,,,
mp_tuned_default,scripted,800,highshelf,-12,1,,,,,
mp_tuned_default,scripted1,800,highshelf,-12,1,,,,,
mp_tuned_default,scripted2,800,highshelf,-12,1,,,,,
mp_tuned_default,scripted3,800,highshelf,-12,1,,,,,
mp_tuned_default,scripted4,800,highshelf,-12,1,,,,,
mp_tuned_default,scripted5,800,highshelf,-12,1,,,,,
mp_tuned_default,unoccluded,20000,highshelf,-1,1,,,,,
mp_tuned_default,whizbys,800,highshelf,-12,1,,,,,
hard_occlusion,unoccluded,20000,highshelf,-1,1,,,,,
hard_occlusion,default,600,highshelf,-12,1,,,,,
hard_occlusion,weapons,600,highshelf,-12,1,,,,,
hard_occlusion,emitters,300,highshelf,-12,1,,,,,
hard_occlusion,foley,600,highshelf,-12,1,,,,,
hard_occlusion,explosions,800,highshelf,-12,1,,,,,
hard_occlusion,tactical,800,highshelf,-12,1,,,,,
