zone_names,comments,streamed_ambience,dynamic_ambience,mix,reverb,filter,occlusion,,,,,,,,,,,,,,,
reverb_names,comments,roomtype,drylevel,wetlevel,fadetime,,,,,,,,,,,,,,,,,
no_reverb,,default,1,0,0,,,,,,,,,,,,,,,,,
default,,default,0.9,0.4,6,,,,,,,,,,,,,,,,,
underwater,,underwater,0.2,1,0.5,,,,,,,,,,,,,,,,,
deathsdoor,,sewer,1,0.7,0.5,,,,,,,,,,,,,,,,,
filter_names,dsp_bus_name,type,freq,gain,q,,,,,,,,,,,,,,,,,
mute_device,all,lowpass,200,-12,1,,,,,,,,,,,,,,,,,
mute_device,voices,lowpass,300,-12,1,,,,,,,,,,,,,,,,,
mute_device,voices_critical,lowpass,325,-6,1,,,,,,,,,,,,,,,,,
mute_device,tactical_special,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
mute_device,voices_unfiltered,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
mute_device,weapons,lowpass,2500,-1,1,,,,,,,,,,,,,,,,,
mute_device,unoccluded,lowpass,10000,-1,1,,,,,,,,,,,,,,,,,
painvision,all,lowpass,500,-6,1,,,,,,,,,,,,,,,,,
painvision,voices_unfiltered,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
painvision,interface,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
painvision,voices,lowpass,1200,-4,1,,,,,,,,,,,,,,,,,
painvision,voices_critical,lowpass,1200,-4,1,,,,,,,,,,,,,,,,,
painvision,whizbys,lowpass,8000,-2,1,,,,,,,,,,,,,,,,,
painvision,music,lowpass,10000,-2,1,,,,,,,,,,,,,,,,,
overdrive,all,lowpass,850,-6,1,,,,,,,,,,,,,,,,,
overdrive,voices_critical,lowpass,1200,-6,1,,,,,,,,,,,,,,,,,
overdrive,weapons,lowpass,10000,0,1,,,,,,,,,,,,,,,,,
overdrive,voices_unfiltered,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
player_boost,3d_u_00_06,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,3d_u_01,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,3d_u_05,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,2d_u_01,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,3d_u_01,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,3d_u_01_08,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,3d_u_01,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,3d_u_02_10,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,3d_u_02_12,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,3d_u_02,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,3d_u_02_10,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,2d_u_02_n,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,3d_r_03,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,2d_r_03,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,3d_r_03,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,2d_r_03,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,3d_r_04,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,3d_r_05_poly1,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,3d_r_05_poly2,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,3d_r_05_poly3,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,2d_r_05_poly1,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,2d_r_05_poly2,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,2d_r_05,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,3d_r_05,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,2d_r_05,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,3d_r_06,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,2d_r_07_poly1,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,2d_r_07_poly2,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,2d_r_07_poly3,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,2d_r_07,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,2d_r_08,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,2d_r_08_poly1,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,2d_r_08_poly2,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,3d_u_06,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,3d_r_09,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,2d_r_09,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
player_boost,2d_r_10,lowpass,400,-12,1,,,,,,,,,,,,,,,,,
underwater,all,lowpass,300,-6,1,,,,,,,,,,,,,,,,,
underwater,weapons,lowpass,700,-6,1,,,,,,,,,,,,,,,,,
underwater,vehicles,lowpass,700,-6,1,,,,,,,,,,,,,,,,,
underwater,music,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
underwater,voices_unfiltered,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
underwater,unoccluded,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
underwater,voices_critical,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
underwater,voices,lowpass,800,-12,1,,,,,,,,,,,,,,,,,
sonic_attack,all,lowpass,200,-12,1,,,,,,,,,,,,,,,,,
sonic_attack,voices,lowpass,300,-12,1,,,,,,,,,,,,,,,,,
sonic_attack,voices_critical,lowpass,325,-6,1,,,,,,,,,,,,,,,,,
sonic_attack,tactical_special,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
sonic_attack,voices_unfiltered,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
flashbang,all,lowpass,500,-12,1,,,,,,,,,,,,,,,,,
flashbang,voices_unfiltered,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
flashbang,plr_internal,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
flashbang,voices,lowpass,1200,-4,1,,,,,,,,,,,,,,,,,
flashbang,voices_critical,lowpass,1200,-4,1,,,,,,,,,,,,,,,,,
flashbang,music,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
flashbang,interface,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
vehicle_shellshock,all,lowpass,500,-12,1,,,,,,,,,,,,,,,,,
vehicle_shellshock,voices_unfiltered,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
vehicle_shellshock,plr_internal,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
vehicle_shellshock,voices,lowpass,1200,-4,1,,,,,,,,,,,,,,,,,
vehicle_shellshock,voices_critical,lowpass,1200,-4,1,,,,,,,,,,,,,,,,,
vehicle_shellshock,music,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
vehicle_shellshock,interface,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
rad_shellshock_low,all,highshelf,20000,-3,1,,,,,,,,,,,,,,,,,
rad_shellshock_med,all,highshelf,502,-6,1,,,,,,,,,,,,,,,,,
rad_shellshock_med,voices_unfiltered,highshelf,20000,0,1,,,,,,,,,,,,,,,,,
rad_shellshock_med,plr_internal,highshelf,20000,0,1,,,,,,,,,,,,,,,,,
rad_shellshock_med,voices,highshelf,1200,-4,1,,,,,,,,,,,,,,,,,
rad_shellshock_med,voices_critical,highshelf,1200,-4,1,,,,,,,,,,,,,,,,,
rad_shellshock_med,music,highshelf,20000,0,1,,,,,,,,,,,,,,,,,
rad_shellshock_med,interface,highshelf,20000,0,1,,,,,,,,,,,,,,,,,
rad_shellshock_high,all,lowpass,503,-12,1,,,,,,,,,,,,,,,,,
rad_shellshock_high,voices_unfiltered,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
rad_shellshock_high,plr_internal,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
rad_shellshock_high,voices,lowpass,1200,-4,1,,,,,,,,,,,,,,,,,
rad_shellshock_high,voices_critical,lowpass,1200,-4,1,,,,,,,,,,,,,,,,,
rad_shellshock_high,music,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
rad_shellshock_high,interface,lowpass,20000,0,1,,,,,,,,,,,,,,,,,
level_fadeout,all,highshelf,800,-25,1,,,,,,,,,,,,,,,,,
sound_fadeout,all,lowpass,0,0,1,,,,,,,,,,,,,,,,,
fadeout_noncritical,default,lowpass,0,0,1,,,,,,,,,,,,,,,,,
fadeall_but_music,default,lowpass,0,0,1,,,,,,,,,,,,,,,,,
occlusion_names,dsp_bus_name,freq,type,gain,q,,,,,,,,,,,,,,,,,
default,unoccluded,20000,highshelf,-1,1,,,,,,,,,,,,,,,,,
default,default,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
default,weapons,1000,highshelf,-8,1,,,,,,,,,,,,,,,,,
default,emitters,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
default,foley,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
default,explosions,1500,highshelf,-10,1,,,,,,,,,,,,,,,,,
default,explosions_critical,1500,highshelf,-3,1,,,,,,,,,,,,,,,,,
default,tactical,2000,highshelf,-10,1,,,,,,,,,,,,,,,,,
default,vehicles,1000,highshelf,-10,1.5,,,,,,,,,,,,,,,,,
default,air_vehicles,1000,highshelf,-10,1.5,,,,,,,,,,,,,,,,,
default,voices,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
default,animals,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
default,physics,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
default,battlechatter,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
default,scripted,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
default,scripted1,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
default,scripted2,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
default,scripted3,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
default,scripted4,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
default,scripted5,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
hard_occlusion,unoccluded,20000,highshelf,-1,1,,,,,,,,,,,,,,,,,
hard_occlusion,default,600,highshelf,-12,1,,,,,,,,,,,,,,,,,
hard_occlusion,weapons,600,highshelf,-12,1,,,,,,,,,,,,,,,,,
hard_occlusion,emitters,600,highshelf,-12,1,,,,,,,,,,,,,,,,,
hard_occlusion,foley,600,highshelf,-12,1,,,,,,,,,,,,,,,,,
hard_occlusion,explosions,800,highshelf,-12,1,,,,,,,,,,,,,,,,,
hard_occlusion,explosions_critical,800,highshelf,-12,1,,,,,,,,,,,,,,,,,
hard_occlusion,tactical,800,highshelf,-12,1,,,,,,,,,,,,,,,,,
hard_occlusion,vehicles,400,highshelf,-12,1,,,,,,,,,,,,,,,,,
hard_occlusion,air_vehicles,800,highshelf,-12,1,,,,,,,,,,,,,,,,,
hard_occlusion,voices,600,highshelf,-12,1,,,,,,,,,,,,,,,,,
hard_occlusion,animals,600,highshelf,-12,1,,,,,,,,,,,,,,,,,
hard_occlusion,physics,600,highshelf,-12,1,,,,,,,,,,,,,,,,,
hard_occlusion,battlechatter,600,highshelf,-12,1,,,,,,,,,,,,,,,,,
hard_occlusion,scripted,800,highshelf,-12,1,,,,,,,,,,,,,,,,,
hard_occlusion,scripted1,800,highshelf,-12,1,,,,,,,,,,,,,,,,,
hard_occlusion,scripted2,800,highshelf,-12,1,,,,,,,,,,,,,,,,,
hard_occlusion,scripted3,800,highshelf,-12,1,,,,,,,,,,,,,,,,,
hard_occlusion,scripted4,800,highshelf,-12,1,,,,,,,,,,,,,,,,,
hard_occlusion,scripted5,800,highshelf,-12,1,,,,,,,,,,,,,,,,,
med_occlusion,unoccluded,20000,highshelf,-1,1,,,,,,,,,,,,,,,,,
med_occlusion,default,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
med_occlusion,weapons,1000,highshelf,-6,1,,,,,,,,,,,,,,,,,
med_occlusion,emitters,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
med_occlusion,foley,1000,highshelf,-13,1,,,,,,,,,,,,,,,,,
med_occlusion,explosions,1500,highshelf,-6,1,,,,,,,,,,,,,,,,,
med_occlusion,explosions_critical,3000,highshelf,-1,1,,,,,,,,,,,,,,,,,
med_occlusion,tactical,2000,highshelf,-10,1,,,,,,,,,,,,,,,,,
med_occlusion,vehicles,1300,highshelf,-8,1,,,,,,,,,,,,,,,,,
med_occlusion,air_vehicles,1500,highshelf,-8,1,,,,,,,,,,,,,,,,,
med_occlusion,voices,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
med_occlusion,animals,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
med_occlusion,physics,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
med_occlusion,battlechatter,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
med_occlusion,scripted,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
med_occlusion,scripted1,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
med_occlusion,scripted2,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
med_occlusion,scripted3,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
med_occlusion,scripted4,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
med_occlusion,scripted5,1000,highshelf,-10,1,,,,,,,,,,,,,,,,,
soft_occlusion,unoccluded,20000,highshelf,-1,1,,,,,,,,,,,,,,,,,
soft_occlusion,default,1000,highshelf,-8,1,,,,,,,,,,,,,,,,,
soft_occlusion,weapons,1000,highshelf,-8,1,,,,,,,,,,,,,,,,,
soft_occlusion,emitters,1000,highshelf,-8,1,,,,,,,,,,,,,,,,,
soft_occlusion,foley,1000,highshelf,-8,1,,,,,,,,,,,,,,,,,
soft_occlusion,explosions,2000,highshelf,-8,1,,,,,,,,,,,,,,,,,
soft_occlusion,explosions_critical,3000,highshelf,-1,1,,,,,,,,,,,,,,,,,
soft_occlusion,tactical,3000,highshelf,-8,1,,,,,,,,,,,,,,,,,
soft_occlusion,vehicles,1000,highshelf,-8,1,,,,,,,,,,,,,,,,,
soft_occlusion,air_vehicles,2000,highshelf,-8,1,,,,,,,,,,,,,,,,,
soft_occlusion,voices,1000,highshelf,-8,1,,,,,,,,,,,,,,,,,
soft_occlusion,animals,1000,highshelf,-8,1,,,,,,,,,,,,,,,,,
soft_occlusion,physics,1000,highshelf,-8,1,,,,,,,,,,,,,,,,,
soft_occlusion,battlechatter,1000,highshelf,-8,1,,,,,,,,,,,,,,,,,
soft_occlusion,scripted,800,highshelf,-8,1,,,,,,,,,,,,,,,,,
soft_occlusion,scripted1,800,highshelf,-8,1,,,,,,,,,,,,,,,,,
soft_occlusion,scripted2,800,highshelf,-8,1,,,,,,,,,,,,,,,,,
soft_occlusion,scripted3,800,highshelf,-8,1,,,,,,,,,,,,,,,,,
soft_occlusion,scripted4,800,highshelf,-8,1,,,,,,,,,,,,,,,,,
soft_occlusion,scripted5,800,highshelf,-8,1,,,,,,,,,,,,,,,,,
no_occlusion,default,20000,highshelf,-3,1,,,,,,,,,,,,,,,,,
no_occlusion,weapons,20000,highshelf,-3,1,,,,,,,,,,,,,,,,,
no_occlusion,emitters,20000,highshelf,-3,1,,,,,,,,,,,,,,,,,
no_occlusion,foley,20000,highshelf,-3,1,,,,,,,,,,,,,,,,,
no_occlusion,explosions,20000,highshelf,-3,1,,,,,,,,,,,,,,,,,
no_occlusion,vehicles,20000,highshelf,-3,1,,,,,,,,,,,,,,,,,
no_occlusion,air_vehicles,20000,highshelf,-3,1,,,,,,,,,,,,,,,,,
no_occlusion,voices,20000,highshelf,-3,1,,,,,,,,,,,,,,,,,
no_occlusion,animals,20000,highshelf,-3,1,,,,,,,,,,,,,,,,,
no_occlusion,physics,20000,highshelf,-3,1,,,,,,,,,,,,,,,,,
no_occlusion,battlechatter,20000,highshelf,-3,1,,,,,,,,,,,,,,,,,
no_occlusion,scripted,800,highshelf,-3,1,,,,,,,,,,,,,,,,,
no_occlusion,scripted1,800,highshelf,-3,1,,,,,,,,,,,,,,,,,
no_occlusion,scripted2,800,highshelf,-3,1,,,,,,,,,,,,,,,,,
no_occlusion,scripted3,800,highshelf,-3,1,,,,,,,,,,,,,,,,,
no_occlusion,scripted4,800,highshelf,-3,1,,,,,,,,,,,,,,,,,
no_occlusion,scripted5,800,highshelf,-3,1,,,,,,,,,,,,,,,,,
timescale_names,dsp_bus_name,scalefactor,,,,,,,,,,,,,,,,,,,,
all_on,all,1,,,,,,,,,,,,,,,,,,,,
all_off,all,0,,,,,,,,,,,,,,,,,,,,
default,all,0,,,,,,,,,,,,,,,,,,,,
shg_default,all,0,,,,,,,,,,,,,,,,,,,,
hms_default,all,0,,,,,,,,,,,,,,,,,,,,
overdrive_timescale,all,0.4,,,,,,,,,,,,,,,,,,,,
overdrive_timescale,weapons,0,,,,,,,,,,,,,,,,,,,,
overdrive_timescale,tactical_special,0,,,,,,,,,,,,,,,,,,,,
slomo_timescale,weapons,0,,,,,,,,,,,,,,,,,,,,
slomo_timescale,voices_critical,0.5,,,,,,,,,,,,,,,,,,,,
slomo_timescale,tactical_special,0,,,,,,,,,,,,,,,,,,,,
slomo_timescale,voices_unfiltered,0,,,,,,,,,,,,,,,,,,,,
slomo_timescale,scripted,0,,,,,,,,,,,,,,,,,,,,
slomo_timescale,music,0,,,,,,,,,,,,,,,,,,,,
slomo_timescale,emitters,0,,,,,,,,,,,,,,,,,,,,
dynamic_ambience_names,comments,components,first_event_min,first_event_max,event_time_min,event_time_max,xxxx,,,,,,,,,,,,,,,
none,,,,,,,,,,,,,,,,,,,,,,
components,comment,oneshots,loops,single_loops,first_event_min,first_event_max,event_time_min,event_time_max,dist_min,dist_max,cone_min,cone_max,travel_min,travel_max,travel_time_min,travel_time_max,pitch_min,pitch_max,pitch_time_min,pitch_time_max,xxxx,
null,,null,,,,,,,,,,,,,,,,,,,,
loop_defs,comments,loop_alias,fade_in,fade_out,end_alias,duration_min,duration_max,xxxx,,,,,,,,,,,,,,
whizby_preset_names,comments,near_radius,medium_radius,far_radius,radius_offset,near_spread,medium_spread,far_spread,near_prob,medium_prob,far_prob,,,,,,,,,,,
default,,750,1000,1350,1,50,50,50,2,1,1,,,,,,,,,,,
mix_names,volmod,value,fadein,fadeout,,,,,,,,,,,,,,,,,,
mute_all,set_all,0,,,,,,,,,,,,,,,,,,,,
player_mech,footstep_plr,0,0.1,0.1,,,,,,,,,,,,,,,,,,
player_mech,footstep_mech,1,0.1,0.1,,,,,,,,,,,,,,,,,,
solo_radio,set_all,0,,,,,,,,,,,,,,,,,,,,
solo_radio,dialog_radio,1,,,,,,,,,,,,,,,,,,,,
vehicle_off,mw3_vehicle_npc,0,,,,,,,,,,,,,,,,,,,,
vehicle_off,mw3_vehicle_plr,0,,,,,,,,,,,,,,,,,,,,
vehicle_off,mw3_wpn_vehicle_npc,0,,,,,,,,,,,,,,,,,,,,
vehicle_off,mw3_wpn_vehicle_plr,0,,,,,,,,,,,,,,,,,,,,
vehicle_on,mw3_vehicle_npc,1,,,,,,,,,,,,,,,,,,,,
vehicle_on,mw3_vehicle_plr,1,,,,,,,,,,,,,,,,,,,,
vehicle_on,mw3_wpn_vehicle_npc,1,,,,,,,,,,,,,,,,,,,,
vehicle_on,mw3_wpn_vehicle_plr,1,,,,,,,,,,,,,,,,,,,,
vo_audibility_mix_of_doom,set_all,0.9,,,,,,,,,,,,,,,,,,,,
vo_audibility_mix_of_doom,mw3_dialog,1,,,,,,,,,,,,,,,,,,,,
vo_audibility_mix_of_doom,mw3_dialog_radio,1,,,,,,,,,,,,,,,,,,,,
vo_audibility_mix_of_doom,mw3_dialog_critical,1,,,,,,,,,,,,,,,,,,,,
doorshield_rip_player,wpn_plr_special,1.6,0.05,0.05,Player doorshield rip,,,,,,,,,,,,,,,,,
sonar_vision,amb_quad,1,0.5,0.5,,,,,,,,,,,,,,,,,,
sonar_vision,amb_emitter,1,0.5,0.5,,,,,,,,,,,,,,,,,,
sonar_vision,amb_damb,1,0.5,0.5,,,,,,,,,,,,,,,,,,
sonar_vision,amb_dist,1,0.5,0.5,,,,,,,,,,,,,,,,,,
sonar_vision,chatter_enemy,1,0.5,0.5,,,,,,,,,,,,,,,,,,
sonar_vision,music,1,0.5,0.5,,,,,,,,,,,,,,,,,,
sonar_vision,plr_internal,1.5,0.5,0.5,,,,,,,,,,,,,,,,,,
sonar_vision,music_big,1,0.5,0.5,,,,,,,,,,,,,,,,,,
sonar_vision,tactical_plr_special,1.2,0.5,0.5,Sonar vision,,,,,,,,,,,,,,,,,
mute_device,set_all,0,0.05,0.05,,,,,,,,,,,,,,,,,,
mute_device,music,0,0.05,0.05,,,,,,,,,,,,,,,,,,
mute_device,wpn_plr_shot,3,0.05,0.05,,,,,,,,,,,,,,,,,,
mute_device,wpn_plr_mech,0,0.05,0.05,,,,,,,,,,,,,,,,,,
mute_device,wpn_plr_sub,0,0.05,0.05,,,,,,,,,,,,,,,,,,
mute_device,wpn_plr_tail,0,0.05,0.05,,,,,,,,,,,,,,,,,,
mute_device,wpn_npc_shot,2,0.05,0.05,,,,,,,,,,,,,,,,,,
mute_device,wpn_npc_mech,0,0.05,0.05,,,,,,,,,,,,,,,,,,
mute_device,wpn_npc_sub,0,0.05,0.05,,,,,,,,,,,,,,,,,,
mute_device,wpn_npc_tail,0,0.05,0.05,,,,,,,,,,,,,,,,,,
mute_device,wpn_npc_dist,0,0.05,0.05,,,,,,,,,,,,,,,,,,
mute_device,bullet_whizby,0,0.05,0.05,,,,,,,,,,,,,,,,,,
mute_device,amb_quad,0.1,0.05,0.05,,,,,,,,,,,,,,,,,,
mute_device,amb_damb,0.1,0.05,0.05,,,,,,,,,,,,,,,,,,
mute_device,amb_emitter,0.1,0.05,0.05,,,,,,,,,,,,,,,,,,
mute_device,tactical_plr_special,2,0.05,0.05,,,,,,,,,,,,,,,,,,
mute_device,tactical_plr,2,0.05,0.05,,,,,,,,,,,,,,,,,,
mute_device,physics,1,0.05,0.05,,,,,,,,,,,,,,,,,,
mute_device,bullet_impact_plr,1,0.05,0.05,,,,,,,,,,,,,,,,,,
deaths_door,set_all,0.8,0.5,2,,,,,,,,,,,,,,,,,,
deaths_door,hud,1,0.05,2,,,,,,,,,,,,,,,,,,
deaths_door,frontend_sfx,1,0.05,2,,,,,,,,,,,,,,,,,,
deaths_door,deaths_door,2,0.05,2,,,,,,,,,,,,,,,,,,
deaths_door,amb_quad,0.1,0.5,2,,,,,,,,,,,,,,,,,,
deaths_door,amb_emitter,0,0.5,2,,,,,,,,,,,,,,,,,,
deaths_door,plr_internal,2,0.05,2,,,,,,,,,,,,,,,,,,
deaths_door,mw3_DEPRECATED_MAX,0,0.5,2,,,,,,,,,,,,,,,,,,
deaths_door,fullvolume,1,0.5,2,,,,,,,,,,,,,,,,,,
deaths_door,attack_dog,0.6,0.3,2,,,,,,,,,,,,,,,,,,
player_dead,set_all,0,0.05,0.05,,,,,,,,,,,,,,,,,,
player_dead,deaths_door,1,0.05,0.05,,,,,,,,,,,,,,,,,,
player_dead,hud,1,0.05,0.05,,,,,,,,,,,,,,,,,,
player_dead,frontend_sfx,1,0.05,0.05,,,,,,,,,,,,,,,,,,
