a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,m14,o15,
0,so_survival_1,SPECIAL_OPS_SO_BUTTON_TIER_1,SPECIAL_OPS_SO_BUTTON_TIER_1_DESC,preview_mp_paris_lobby,0,,,,,,,,,,,
1,so_survival_2,SPECIAL_OPS_SO_BUTTON_TIER_2,SPECIAL_OPS_SO_BUTTON_TIER_2_DESC,preview_mp_dome_lobby,7,SPECIAL_OPS_SO_BUTTON_TIER_2_UNLOCKED,,,,,,,,,,
2,so_survival_3,SPECIAL_OPS_SO_BUTTON_TIER_3,SPECIAL_OPS_SO_BUTTON_TIER_3_DESC,preview_mp_bootleg_lobby,14,SPECIAL_OPS_SO_BUTTON_TIER_3_UNLOCKED,,,,,,,,,,
3,so_survival_4,SPECIAL_OPS_SO_BUTTON_TIER_4,SPECIAL_OPS_SO_BUTTON_TIER_4_DESC,preview_mp_alpha_lobby,24,SPECIAL_OPS_SO_BUTTON_TIER_4_UNLOCKED,,,,,,,,,,
4,so_mw3_mission_1,SPECIAL_OPS_SO_BUTTON_ALPHA,SPECIAL_OPS_SO_ALPHA_DESC,levelshot_so_nyse_ny_manhattan_lobby,0,,,,,,,,,,,
5,so_mw3_mission_2,SPECIAL_OPS_SO_BUTTON_BETA,SPECIAL_OPS_SO_BETA_DESC,levelshot_so_heliswitch_berlin_lobby,4,SPECIAL_OPS_SO_BUTTON_BETA_UNLOCKED,,,,,,,,,,
6,so_mw3_mission_3,SPECIAL_OPS_SO_BUTTON_CHARLIE,SPECIAL_OPS_SO_CHARLIE_DESC,levelshot_so_zodiac2_ny_harbor_lobby,9,SPECIAL_OPS_SO_BUTTON_CHARLIE_UNLOCKED,,,,,,,,,,
7,so_mw3_mission_4,SPECIAL_OPS_SO_BUTTON_DELTA,SPECIAL_OPS_SO_DELTA_DESC,levelshot_so_killspree_paris_a_lobby,14,SPECIAL_OPS_SO_BUTTON_DELTA_UNLOCKED,,,,,,,,,,
survival_count,16,# <- PROGRESSION TRACKING COUNT MUST BE <= 16 FOR MW3 OR WE WILL SRE,,,,,,,,,,,,,,
100,so_survival_mp_dome,SPECIAL_OPS_SURVIVAL_DOME,SPECIAL_OPS_SURVIVAL_DOME_DESC,preview_mp_dome_lobby,MENU_SP_TYPE_ASSAULT,1,15,,s0,25,1,,so_survival_2,0,,
101,so_survival_mp_village,SPECIAL_OPS_SURVIVAL_VILLAGE,SPECIAL_OPS_SURVIVAL_VILLAGE_DESC,preview_mp_village_lobby,MENU_SP_TYPE_ASSAULT,0,18,,s1,25,1,,so_survival_1,0,,
102,so_survival_mp_carbon,SPECIAL_OPS_SURVIVAL_CARBON,SPECIAL_OPS_SURVIVAL_CARBON_DESC,preview_mp_carbon_lobby,MENU_SP_TYPE_ASSAULT,1,15,,s2,25,1,,so_survival_2,0,,
103,so_survival_mp_seatown,SPECIAL_OPS_SURVIVAL_SEATOWN,SPECIAL_OPS_SURVIVAL_SEATOWN_DESC,preview_mp_seatown_lobby,MENU_SP_TYPE_ASSAULT,1,15,,s3,25,1,,so_survival_2,0,,
104,so_survival_mp_radar,SPECIAL_OPS_SURVIVAL_RADAR,SPECIAL_OPS_SURVIVAL_RADAR_DESC,preview_mp_radar_lobby,MENU_SP_TYPE_ASSAULT,2,10,,s4,25,1,,so_survival_3,0,,
105,so_survival_mp_paris,SPECIAL_OPS_SURVIVAL_PARIS,SPECIAL_OPS_SURVIVAL_PARIS_DESC,preview_mp_paris_lobby,MENU_SP_TYPE_ASSAULT,0,18,,s5,25,1,,so_survival_1,0,,
106,so_survival_mp_alpha,SPECIAL_OPS_SURVIVAL_ALPHA,SPECIAL_OPS_SURVIVAL_ALPHA_DESC,preview_mp_alpha_lobby,MENU_SP_TYPE_ASSAULT,3,6,,s6,25,1,,so_survival_4,0,,
107,so_survival_mp_bravo,SPECIAL_OPS_SURVIVAL_BRAVO,SPECIAL_OPS_SURVIVAL_BRAVO_DESC,preview_mp_bravo_lobby,MENU_SP_TYPE_ASSAULT,1,15,,s7,25,1,,so_survival_2,0,,
108,so_survival_mp_plaza2,SPECIAL_OPS_SURVIVAL_PLAZA2,SPECIAL_OPS_SURVIVAL_PLAZA2_DESC,preview_mp_plaza2_lobby,MENU_SP_TYPE_ASSAULT,3,6,,s8,25,1,,so_survival_4,0,,
109,so_survival_mp_mogadishu,SPECIAL_OPS_SURVIVAL_MOGADISHU,SPECIAL_OPS_SURVIVAL_MOGADISHU_DESC,preview_mp_mogadishu_lobby,MENU_SP_TYPE_ASSAULT,3,6,,s9,25,1,,so_survival_4,0,,
110,so_survival_mp_exchange,SPECIAL_OPS_SURVIVAL_EXCHANGE,SPECIAL_OPS_SURVIVAL_EXCHANGE_DESC,preview_mp_exchange_lobby,MENU_SP_TYPE_ASSAULT,3,6,,s10,25,1,,so_survival_4,0,,
111,so_survival_mp_underground,SPECIAL_OPS_SURVIVAL_UNDERGROUND,SPECIAL_OPS_SURVIVAL_UNDERGROUND_DESC,preview_mp_underground_lobby,MENU_SP_TYPE_ASSAULT,0,18,,s11,25,1,,so_survival_1,0,,
112,so_survival_mp_hardhat,SPECIAL_OPS_SURVIVAL_HARDHAT,SPECIAL_OPS_SURVIVAL_HARDHAT_DESC,preview_mp_hardhat_lobby,MENU_SP_TYPE_ASSAULT,2,10,,s12,25,1,,so_survival_3,0,,
113,so_survival_mp_bootleg,SPECIAL_OPS_SURVIVAL_BOOTLEG,SPECIAL_OPS_SURVIVAL_BOOTLEG_DESC,preview_mp_bootleg_lobby,MENU_SP_TYPE_ASSAULT,2,10,,s13,25,1,,so_survival_3,0,,
114,so_survival_mp_lambeth,SPECIAL_OPS_SURVIVAL_LAMBETH,SPECIAL_OPS_SURVIVAL_LAMBETH_DESC,preview_mp_lambeth_lobby,MENU_SP_TYPE_ASSAULT,2,10,,s14,25,1,,so_survival_3,0,,
115,so_survival_mp_interchange,SPECIAL_OPS_SURVIVAL_INTERCHANGE,SPECIAL_OPS_SURVIVAL_INTERCHANGE_DESC,preview_mp_interchange_lobby,MENU_SP_TYPE_ASSAULT,0,18,,s15,25,1,,so_survival_1,0,,
116,so_survival_mp_italy,SPECIAL_OPS_SURVIVAL_ITALY,SPECIAL_OPS_SURVIVAL_ITALY_DESC,preview_mp_italy_lobby,MENU_SP_TYPE_ASSAULT,1,15,,s0,25,1,,so_survival_2,0,,
117,so_survival_mp_park,SPECIAL_OPS_SURVIVAL_PARK,SPECIAL_OPS_SURVIVAL_PARK_DESC,preview_mp_park_lobby,MENU_SP_TYPE_ASSAULT,1,15,,s0,25,1,,so_survival_2,0,,
mission_count,16,# <- PROGRESSION TRACKING COUNT MUST BE <= 16 FOR MW3 OR WE WILL SRE,,,,,,,,,,,,,,
200,so_deltacamp,SPECIAL_OPS_SO_DELTACAMP,SPECIAL_OPS_SO_DELTACAMP_DESC,levelshot_so_deltacamp_lobby,MENU_SP_TYPE_ASSAULT,0,0:45,,s16,,1,,so_mw3_mission_1,0,,
201,so_rescue_hijack,SPECIAL_OPS_SO_RESCUE_HIJACK,SPECIAL_OPS_SO_RESCUE_HIJACK_DESC,levelshot_so_rescue_hijack_lobby,MENU_SP_TYPE_ASSAULT,1,3:00,,s17,,1,,so_mw3_mission_2,1,,
202,so_ied_berlin,SPECIAL_OPS_SO_IED_BERLIN,SPECIAL_OPS_SO_IED_BERLIN_DESC,levelshot_so_ied_berlin_lobby,MENU_SP_TYPE_ASSAULT,2,4:00,,s18,,1,SPECIAL_OPS_SO_IED_BERLIN_CHOOSEROLES,so_mw3_mission_3,1,,
203,so_heliswitch_berlin,SPECIAL_OPS_SO_HELISWITCH_BERLIN,SPECIAL_OPS_SO_HELISWITCH_BERLIN_DESC,levelshot_so_heliswitch_berlin_lobby,MENU_SP_TYPE_ASSAULT,2,5:30,,s19,,1,SPECIAL_OPS_SO_HELISWITCH_BERLIN_CHOOSEROLES,so_mw3_mission_3,1,,
204,so_zodiac2_ny_harbor,SPECIAL_OPS_SO_ZODIAC2_NY_HARBOR,SPECIAL_OPS_SO_ZODIAC2_NY_HARBOR_DESC,levelshot_so_zodiac2_ny_harbor_lobby,MENU_SP_TYPE_ASSAULT,0,6:00,,s20,,1,,so_mw3_mission_1,1,,
205,so_killspree_paris_a,SPECIAL_OPS_SO_KILLSPREE_PARIS_A,SPECIAL_OPS_SO_KILLSPREE_PARIS_A_DESC,levelshot_so_killspree_paris_a_lobby,MENU_SP_TYPE_ASSAULT,1,8:00,,s21,,1,,so_mw3_mission_2,1,,
206,so_jeep_paris_b,SPECIAL_OPS_SO_JEEP_PARIS_B,SPECIAL_OPS_SO_JEEP_PARIS_B_DESC,levelshot_so_jeep_paris_b_lobby,MENU_SP_TYPE_ASSAULT,3,7:00,,s22,,1,,so_mw3_mission_4,1,,
207,so_stealth_prague,SPECIAL_OPS_SO_STEALTH_PRAGUE,SPECIAL_OPS_SO_STEALTH_PRAGUE_DESC,levelshot_so_stealth_prague_lobby,MENU_SP_TYPE_ASSAULT,2,5:00,,s23,,1,,so_mw3_mission_3,1,,
208,so_stealth_warlord,SPECIAL_OPS_SO_STEALTH_WARLORD,SPECIAL_OPS_SO_STEALTH_WARLORD_DESC,levelshot_so_stealth_warlord_lobby,MENU_SP_TYPE_ASSAULT,1,5:30,,s24,,1,,so_mw3_mission_2,1,,
209,so_littlebird_payback,SPECIAL_OPS_SO_LITTLEBIRD_PAYBACK,SPECIAL_OPS_SO_LITTLEBIRD_PAYBACK_DESC,levelshot_so_littlebird_payback_lobby,MENU_SP_TYPE_ASSAULT,3,8:00,,s25,,1,SPECIAL_OPS_SO_LITTLEBIRD_PAYBACK_CHOOSEROLES,so_mw3_mission_4,1,,
210,so_timetrial_london,SPECIAL_OPS_SO_TIMETRIAL_LONDON,SPECIAL_OPS_SO_TIMETRIAL_LONDON_DESC,levelshot_so_timetrial_london_lobby,MENU_SP_TYPE_ASSAULT,1,4:00,,s26,,2,SPECIAL_OPS_SO_TIMETRIAL_LONDON_CHOOSEROLES,so_mw3_mission_2,1,,
211,so_assassin_payback,SPECIAL_OPS_SO_ASSASSIN_PAYBACK,SPECIAL_OPS_SO_ASSASSIN_PAYBACK_DESC,levelshot_so_assassin_payback_lobby,MENU_SP_TYPE_ASSAULT,0,4:30,,s27,,1,,so_mw3_mission_1,1,,
212,so_milehigh_hijack,SPECIAL_OPS_SO_MILEHIGH_HIJACK,SPECIAL_OPS_SO_MILEHIGH_HIJACK_DESC,levelshot_so_milehigh_hijack_lobby,MENU_SP_TYPE_ASSAULT,0,2:30,,s28,,1,,so_mw3_mission_1,1,,
213,so_assault_rescue_2,SPECIAL_OPS_SO_ASSAULT_RESCUE_2,SPECIAL_OPS_SO_ASSAULT_RESCUE_2_DESC,levelshot_so_assault_rescue_2_lobby,MENU_SP_TYPE_ASSAULT,3,2:30,,s29,,2,SPECIAL_OPS_SO_ASSAULT_RESCUE_2_CHOOSEROLES,so_mw3_mission_4,1,,
214,so_trainer2_so_deltacamp,SPECIAL_OPS_SO_TRAINER2_SO_DELTACAMP,SPECIAL_OPS_SO_TRAINER2_SO_DELTACAMP_DESC,levelshot_so_trainer2_so_deltacamp_lobby,MENU_SP_TYPE_ASSAULT,2,0:45,,s30,,1,,so_mw3_mission_3,0,,
215,so_nyse_ny_manhattan,SPECIAL_OPS_SO_NYSE_NY_MANHATTAN,SPECIAL_OPS_SO_NYSE_NY_MANHATTAN_DESC,levelshot_so_nyse_ny_manhattan_lobby,MENU_SP_TYPE_ASSAULT,3,8:30,,s31,,1,,so_mw3_mission_4,1,,
