language_channels,,,,,,
generic,english,0,1,2,3,
generic,french,6,7,4,5,
generic,italian,8,9,4,5,
generic,german,10,11,4,5,
generic,spanish,14,15,4,5,
generic,spanishna,0,1,2,3,
generic,british,0,1,2,3,
generic,russian,16,17,4,5,
generic,polish,0,1,2,3,
generic,korean,0,1,2,3,
generic,taiwanese,0,1,2,3,
generic,japanese,0,1,2,3,
generic,chinese,0,1,2,3,
generic,thai,0,1,2,3,
generic,czech,0,1,2,3,
generic,portuguese,0,1,2,3,
generic,arabic,0,1,2,3,
recovery_load,english,0,1,2,3,
recovery_load,french,6,7,4,5,
recovery_load,italian,8,9,4,5,
recovery_load,german,10,11,4,5,
recovery_load,spanish,14,15,4,5,
recovery_load,spanishna,0,1,2,3,
recovery_load,british,0,1,2,3,
recovery_load,russian,16,17,4,5,
recovery_load,polish,0,1,2,3,
recovery_load,korean,0,1,2,3,
recovery_load,taiwanese,0,1,2,3,
recovery_load,japanese,0,1,2,3,
recovery_load,chinese,0,1,2,3,
recovery_load,thai,0,1,2,3,
recovery_load,czech,0,1,2,3,
recovery_load,portuguese,0,1,2,3,
recovery_load,arabic,0,1,2,3,
seoul_load,english,0,1,2,3,
seoul_load,french,6,7,4,5,
seoul_load,italian,8,9,4,5,
seoul_load,german,10,11,4,5,
seoul_load,spanish,14,15,4,5,
seoul_load,spanishna,12,13,4,5,
seoul_load,british,22,23,2,3,
seoul_load,russian,16,17,4,5,
seoul_load,polish,0,1,2,3,
seoul_load,korean,0,1,2,3,
seoul_load,taiwanese,0,1,2,3,
seoul_load,japanese,18,19,4,5,
seoul_load,chinese,0,1,2,3,
seoul_load,thai,0,1,2,3,
seoul_load,czech,0,1,2,3,
seoul_load,portuguese,20,21,4,5,
seoul_load,arabic,0,1,2,3,
audio_log_irs,english,0,999,999,999,
audio_log_irs,french,1,999,999,999,
audio_log_irs,italian,2,999,999,999,
audio_log_irs,german,3,999,999,999,
audio_log_irs,spanish,5,999,999,999,
audio_log_irs,spanishna,4,999,999,999,
audio_log_irs,british,0,999,999,999,
audio_log_irs,russian,6,999,999,999,
audio_log_irs,polish,0,999,999,999,
audio_log_irs,korean,0,999,999,999,
audio_log_irs,taiwanese,0,999,999,999,
audio_log_irs,japanese,7,999,999,999,
audio_log_irs,chinese,0,999,999,999,
audio_log_irs,thai,0,999,999,999,
audio_log_irs,czech,0,999,999,999,
audio_log_irs,portuguese,8,999,999,999,
audio_log_irs,arabic,0,999,999,999,
end_section,,,,,,
volume_table,,,,,,
generic,1,,,,,
audio_log_irs,1,,,,,
SHG_Logo,0.9,,,,,
attract,0.9,,,,,
seoul_load,1.2,,,,,
recovery_load,1.1,,,,,
lagos_load,1.2,,,,,
fusion_load,1.1,,,,,
detroit_load,1,,,,,
greece_load,1.1,,,,,
betrayal_load,1.2,,,,,
irons_estate_load,1.1,,,,,
crash_load,1.2,,,,,
lab_load,1,,,,,
sanfran_b_load,1,,,,,
sanfran_load,1.1,,,,,
df_fly_load,1.2,,,,,
df_baghdad_load,1.2,,,,,
captured_load,1,,,,,
finale_load,0.9,,,,,
chyron_text_seoul,0.5,,,,,
chyron_text_recovery,0.5,,,,,
chyron_text_lagos,0.5,,,,,
chyron_text_fusion,0.5,,,,,
chyron_text_detroit,0.5,,,,,
chyron_text_greece,0.5,,,,,
chyron_text_betrayal,0.5,,,,,
chyron_text_irons_estate,0.5,,,,,
chyron_text_crash,0.5,,,,,
chyron_text_biolab,0.5,,,,,
chyron_text_sanfran,0.5,,,,,
chyron_text_sanfran_b,0.5,,,,,
chyron_text_df_fly,0.5,,,,,
chyron_text_captured,0.5,,,,,
chyron_text_finale,0.5,,,,,
seoul_videolog,0.5,,,,,
lagos_videolog_01,0.5,,,,,
lagos_videolog_02,0.5,,,,,
fusion_videolog,0.5,,,,,
fusion_videolog_02,0.5,,,,,
detroit_videolog,0.5,,,,,
manhunt_videolog,0.5,,,,,
manhunt_videolog_02,0.5,,,,,
betrayal_videolog,0.5,,,,,
betrayal_videolog_02,0.5,,,,,
base_videolog,0.5,,,,,
ar_hud_demo,0.5,,,,,
lab_videolog_01,0.5,,,,,
lab_videolog_02,0.5,,,,,
sanfran_videolog,0.5,,,,,
sanfran_b_videolog,0.5,,,,,
fusion_videolog02,0.75,,,,,
df_baghdad_irons_speech,1,,,,,
power,1,,,,,
democracy,1,,,,,
audio_log_irs,0.4,,,,,
end_section,,,,,,
